"county","party","candidate","votes","above_65"
Hampton,Democrat,Hillary Clinton,1930,15.8
Mohave,Republican,Donald Trump,14154,26.9
Lowndes,Democrat,Hillary Clinton,3782,17.4
Gasconade,Republican,Donald Trump,1429,21.6
Worth,Democrat,Bernie Sanders,218,19.8
Neshoba,Republican,Donald Trump,2249,14.7
Cherokee,Republican,Donald Trump,248,22.4
Marion,Republican,Donald Trump,473,17.0
Imperial,Democrat,Hillary Clinton,5743,12.0
Stark,Republican,Ted Cruz,448,24.4
Logan,Democrat,Hillary Clinton,77,15.7
Oktibbeha,Democrat,Hillary Clinton,2389,10.3
Laurel,Republican,Donald Trump,2313,15.0
Plymouth,Republican,Donald Trump,618,17.6
Howard,Republican,Donald Trump,8475,18.0
Lincoln,Democrat,Bernie Sanders,1510,17.2
Warren,Democrat,Hillary Clinton,468,20.3
Kankakee,Republican,Donald Trump,6403,14.9
Hancock,Democrat,Hillary Clinton,1112,20.0
Pike,Republican,Donald Trump,1930,14.6
Cleveland,Democrat,Bernie Sanders,16428,11.9
Jay,Republican,Donald Trump,2194,16.5
Will,Democrat,Bernie Sanders,46305,11.2
Green,Democrat,Bernie Sanders,4359,16.9
Pulaski,Republican,Donald Trump,1668,17.8
Ada,Republican,Ted Cruz,20156,12.6
Jefferson,Democrat,Bernie Sanders,654,18.8
Jerome,Republican,Ted Cruz,1164,12.1
Peach,Democrat,Hillary Clinton,1675,13.3
Vernon,Republican,Donald Trump,1119,10.5
Randolph,Republican,Donald Trump,735,19.9
Madison,Republican,Donald Trump,12487,16.9
Washington,Democrat,Hillary Clinton,9110,10.7
Newton,Democrat,Hillary Clinton,7269,11.9
Wayne,Republican,Donald Trump,2033,14.7
Alamosa,Democrat,Bernie Sanders,167,12.6
Carroll,Republican,Ben Carson,0,21.1
Corson,Democrat,Bernie Sanders,148,10.5
Iosco,Republican,Donald Trump,1973,27.9
Ouray,Democrat,Bernie Sanders,156,24.6
St. Francois,Republican,Donald Trump,4061,15.3
Webster,Republican,Donald Trump,1191,16.6
Adams,Democrat,Hillary Clinton,113,22.0
White,Republican,Donald Trump,3044,18.8
Baldwin,Republican,Donald Trump,23618,18.7
St. Charles,Democrat,Hillary Clinton,2245,11.6
Owyhee,Republican,Ted Cruz,717,16.3
Cass,Republican,Donald Trump,1811,16.1
Yancey,Democrat,Bernie Sanders,1386,23.5
Harrison,Republican,Donald Trump,315,19.1
Marquette,Democrat,Bernie Sanders,5530,16.6
Bureau,Republican,Donald Trump,2185,19.9
Yuma,Republican,Donald Trump,4390,17.4
Goshen,Democrat,Hillary Clinton,3,20.5
Sweetwater,Democrat,Bernie Sanders,12,9.5
Grant,Democrat,Hillary Clinton,2272,24.1
Bryan,Democrat,Bernie Sanders,1913,16.9
Broadwater,Republican,Donald Trump,1001,20.9
Gooding,Republican,Ted Cruz,863,16.4
Tippecanoe,Republican,Donald Trump,10296,10.3
Lawrence,Republican,Donald Trump,1326,17.0
Oglethorpe,Republican,Donald Trump,1230,18.0
Humboldt,Republican,Donald Trump,204,20.3
Talbot,Democrat,Hillary Clinton,852,19.1
Osceola,Democrat,Hillary Clinton,16512,12.7
Douglas,Democrat,Bernie Sanders,2347,9.9
Newport News,Democrat,Hillary Clinton,12495,11.6
Deer Lodge,Democrat,Hillary Clinton,986,20.7
Boone,Republican,Donald Trump,740,21.6
Heard,Republican,Donald Trump,1068,15.7
Campbell,Democrat,Hillary Clinton,3169,13.8
Ionia,Democrat,Bernie Sanders,2812,13.0
Somerset,Republican,Donald Trump,1686,15.3
Rockland,Democrat,Hillary Clinton,16966,14.8
Gates,Democrat,Hillary Clinton,749,17.8
Cheyenne,Republican,Donald Trump,1130,16.2
Canyon,Republican,Ted Cruz,11164,12.5
Rosebud,Republican,Donald Trump,959,13.6
Newton,Republican,Ted Cruz,6452,17.4
Talladega,Republican,Donald Trump,6304,16.1
Shelby,Republican,Donald Trump,18260,13.0
Bamberg,Democrat,Hillary Clinton,1715,18.3
Lake,Republican,Donald Trump,26393,26.0
Alcona,Republican,Donald Trump,1111,34.8
Rockcastle,Republican,Donald Trump,743,16.6
Carroll,Republican,Donald Trump,1268,23.6
Wheatland,Republican,Donald Trump,380,23.9
Summers,Democrat,Bernie Sanders,1060,21.1
Clay,Democrat,Bernie Sanders,754,19.1
Apache,Democrat,Hillary Clinton,4450,13.5
Harrison,Republican,Donald Trump,4326,16.0
Owen,Democrat,Bernie Sanders,720,16.6
Bleckley,Republican,Donald Trump,935,16.7
Colbert,Democrat,Hillary Clinton,3879,18.5
Richmond,Democrat,Hillary Clinton,333,19.5
Bates,Republican,Donald Trump,1306,18.7
Boone,Democrat,Hillary Clinton,2932,11.2
Pike,Democrat,Hillary Clinton,2870,15.6
Sedgwick,Democrat,Hillary Clinton,13,24.4
Whitley,Republican,Donald Trump,1556,15.1
Menard,Republican,Ted Cruz,1064,18.1
Comanche,Democrat,Bernie Sanders,3804,11.0
Granville,Democrat,Hillary Clinton,4693,15.3
Wayne,Republican,Donald Trump,1376,21.9
Payne,Democrat,Bernie Sanders,3829,11.1
Prentiss,Republican,Donald Trump,1597,17.0
Floyd,Democrat,Hillary Clinton,453,20.7
Carroll,Democrat,Hillary Clinton,0,21.1
Jefferson,Republican,Donald Trump,3281,17.6
Eagle,Democrat,Bernie Sanders,623,8.1
Mineral,Republican,Donald Trump,638,26.6
Copiah,Democrat,Hillary Clinton,3373,15.4
Grand,Democrat,Bernie Sanders,187,13.9
La Paz,Republican,Donald Trump,940,36.1
Cass,Republican,Donald Trump,3941,16.2
Lawrence,Democrat,Bernie Sanders,659,15.9
Glascock,Republican,Donald Trump,405,17.4
Dinwiddie,Democrat,Hillary Clinton,1935,16.3
Calhoun,Democrat,Bernie Sanders,5810,16.4
Calhoun,Republican,Donald Trump,8960,16.0
Pierce,Republican,Donald Trump,1345,15.6
Brooks,Republican,Donald Trump,1009,18.6
Adams,Democrat,Hillary Clinton,3013,16.7
Phelps,Republican,Donald Trump,3425,14.9
Cleveland,Republican,Ted Cruz,550,19.1
Gwinnett,Democrat,Hillary Clinton,37465,8.6
Webster,Democrat,Hillary Clinton,866,17.2
Macon,Democrat,Hillary Clinton,4293,16.8
Surry,Democrat,Hillary Clinton,812,19.1
Dade,Republican,Ted Cruz,997,22.2
Seminole,Republican,Donald Trump,754,21.8
Washington,Democrat,Hillary Clinton,601,17.2
Franklin,Democrat,Hillary Clinton,226,20.1
Hendry,Republican,Donald Trump,1290,12.7
Acadia,Democrat,Hillary Clinton,1862,13.5
Van Buren,Republican,Donald Trump,1198,24.6
Pointe Coupee,Democrat,Hillary Clinton,1680,18.2
Pickens,Republican,Donald Trump,3360,20.3
Poweshiek,Democrat,Bernie Sanders,475,19.2
Lafourche,Republican,Donald Trump,2725,13.7
Henderson,Republican,Donald Trump,516,23.6
Long,Republican,Donald Trump,633,7.7
Richland,Republican,Donald Trump,1435,13.0
Ottawa,Democrat,Bernie Sanders,1238,18.1
Chase,Republican,Donald Trump,476,20.7
Cobb,Democrat,Hillary Clinton,39277,10.6
Prairie,Democrat,Hillary Clinton,558,22.0
St. John the Baptist,Democrat,Hillary Clinton,3818,12.6
Marion,Republican,Donald Trump,2454,16.6
Brooks,Democrat,Hillary Clinton,1603,18.2
Des Moines,Democrat,Bernie Sanders,1066,18.8
Jeff Davis,Democrat,Hillary Clinton,738,15.2
Modoc,Republican,Donald Trump,1019,23.2
Clay,Republican,Ted Cruz,13559,12.8
Sheridan,Democrat,Hillary Clinton,7,18.3
Clay,Democrat,Hillary Clinton,2372,16.3
Jefferson,Democrat,Hillary Clinton,1671,20.1
Bonneville,Republican,Ted Cruz,7794,12.1
Crook,Democrat,Bernie Sanders,1,18.0
Nowata,Democrat,Bernie Sanders,530,18.9
Wright,Democrat,Hillary Clinton,273,21.3
Morgan,Republican,Donald Trump,10235,15.1
Columbia,Republican,Donald Trump,1149,16.6
Bourbon,Democrat,Hillary Clinton,1109,17.5
Tishomingo,Republican,Donald Trump,1854,19.6
Mills,Republican,Donald Trump,300,15.8
Menifee,Democrat,Bernie Sanders,323,18.2
Treasure,Republican,Donald Trump,143,27.0
San Francisco,Democrat,Hillary Clinton,85070,14.4
Siskiyou,Republican,Donald Trump,3573,22.7
Cibola,Democrat,Hillary Clinton,1586,14.2
Bacon,Republican,Donald Trump,904,14.1
Alpine,Democrat,Bernie Sanders,129,21.1
Weston,Democrat,Bernie Sanders,1,18.1
Holt,Republican,Donald Trump,504,22.8
Iberville,Democrat,Hillary Clinton,3699,13.6
Lake,Republican,Donald Trump,803,26.2
White,Republican,Donald Trump,2715,20.6
Calcasieu,Democrat,Hillary Clinton,6594,13.7
Missoula,Democrat,Bernie Sanders,13271,13.6
Bingham,Republican,Ted Cruz,3471,12.9
Sebastian,Republican,Donald Trump,6030,14.5
Steuben,Republican,Donald Trump,3973,17.2
Noble,Republican,Donald Trump,4422,14.6
Posey,Republican,Donald Trump,3159,16.2
Flathead,Republican,Donald Trump,10642,17.2
Pulaski,Republican,Donald Trump,436,20.2
Washington,Democrat,Hillary Clinton,2982,13.6
Rankin,Republican,Donald Trump,13729,13.3
Nodaway,Republican,Donald Trump,1268,13.9
Glynn,Republican,Donald Trump,5516,17.7
Buncombe,Democrat,Bernie Sanders,30913,18.1
Yavapai,Republican,Donald Trump,17005,28.1
Madison,Democrat,Bernie Sanders,2044,19.8
Natchitoches,Democrat,Hillary Clinton,2545,15.3
Darlington,Democrat,Hillary Clinton,4988,16.5
New Castle,Democrat,Hillary Clinton,38580,13.8
Adams,Republican,Ted Cruz,3851,14.4
Jersey,Republican,Donald Trump,1902,17.6
Lee,Democrat,Hillary Clinton,3224,15.0
Todd,Democrat,Bernie Sanders,507,15.6
Ripley,Republican,Donald Trump,3694,16.9
San Miguel,Democrat,Bernie Sanders,329,10.4
Jasper,Republican,Ted Cruz,928,18.2
Howard,Democrat,Bernie Sanders,215,19.7
Clinch,Republican,Donald Trump,412,15.0
Charlton,Republican,Donald Trump,602,13.3
Charleston,Democrat,Hillary Clinton,26535,14.5
Franklin,Republican,Donald Trump,3487,15.6
Allen,Republican,Ted Cruz,29963,13.1
Nevada,Democrat,Hillary Clinton,647,19.4
Stewart,Democrat,Hillary Clinton,460,15.3
Dearborn,Republican,Donald Trump,6617,15.3
Ventura,Democrat,Hillary Clinton,45848,13.6
Clarendon,Democrat,Hillary Clinton,3564,19.8
Lafayette,Republican,Donald Trump,7171,11.3
Calhoun,Democrat,Hillary Clinton,413,19.8
Irwin,Republican,Donald Trump,869,18.2
Berkeley,Democrat,Hillary Clinton,9471,12.3
Emmet,Democrat,Bernie Sanders,2589,19.7
Hancock,Democrat,Bernie Sanders,573,16.1
Shelby,Republican,Ted Cruz,2069,20.6
Lawrence,Republican,Ted Cruz,4235,17.8
Butts,Republican,Donald Trump,1884,14.3
Carroll,Republican,Donald Trump,2421,17.7
Wayne,Republican,Donald Trump,805,18.1
Fremont,Republican,Donald Trump,182,21.6
Harrison,Republican,Donald Trump,12555,13.2
Logan,Republican,Donald Trump,166,18.4
Mora,Democrat,Hillary Clinton,986,22.7
Lawrence,Democrat,Hillary Clinton,933,19.3
Hoke,Democrat,Hillary Clinton,3528,8.4
Broomfield,Democrat,Bernie Sanders,1010,12.2
Greeley,Republican,Donald Trump,125,23.7
Deuel,Republican,Donald Trump,274,23.5
Dallas,Democrat,Hillary Clinton,693,20.5
Lewis,Republican,Donald Trump,522,16.6
Hardin,Republican,Ted Cruz,417,21.2
McKinley,Democrat,Hillary Clinton,4761,10.6
Marion,Democrat,Hillary Clinton,1162,14.8
Decatur,Republican,Donald Trump,3319,15.4
Piatt,Republican,Ted Cruz,1855,18.1
Evans,Republican,Donald Trump,481,15.1
Wabash,Republican,Donald Trump,3932,19.4
Scott,Republican,Donald Trump,715,18.7
Glacier,Democrat,Bernie Sanders,1074,10.9
Orange,Republican,Donald Trump,146888,13.1
Fulton,Democrat,Hillary Clinton,701,25.4
Polk,Republican,Donald Trump,1895,21.7
Christian,Democrat,Hillary Clinton,2437,11.1
Delaware,Democrat,Hillary Clinton,440,18.1
El Paso,Democrat,Bernie Sanders,4954,11.5
Pike,Republican,Donald Trump,1241,16.5
Fallon,Republican,Donald Trump,734,15.7
Lapeer,Republican,Donald Trump,7446,15.9
Roger Mills,Democrat,Bernie Sanders,268,18.3
Chatham,Democrat,Hillary Clinton,7406,23.6
Crawford,Republican,Donald Trump,1162,17.2
Perry,Democrat,Bernie Sanders,1666,15.4
Jackson,Democrat,Bernie Sanders,4656,13.0
Albany,Democrat,Bernie Sanders,25,9.8
Henry,Republican,Ted Cruz,379,17.6
Houston,Republican,Donald Trump,7091,11.7
Pettis,Republican,Donald Trump,3343,15.3
Prairie,Republican,Donald Trump,269,30.0
Bulloch,Republican,Donald Trump,3111,10.3
Covington,Democrat,Hillary Clinton,244,18.9
Caroline,Democrat,Hillary Clinton,1902,15.1
Jessamine,Democrat,Bernie Sanders,2113,13.4
Reynolds,Republican,Donald Trump,647,22.7
Jackson,Republican,Donald Trump,5463,18.6
Pearl River,Republican,Donald Trump,4562,17.2
Edmonson,Republican,Donald Trump,531,19.3
Philadelphia,Democrat,Hillary Clinton,212785,12.5
Linn,Republican,Donald Trump,955,20.2
Carroll,Republican,Donald Trump,16534,15.3
Putnam,Republican,Donald Trump,4087,15.2
Tippah,Republican,Donald Trump,1951,15.8
Hart,Democrat,Bernie Sanders,1062,16.2
Keokuk,Democrat,Hillary Clinton,250,20.1
Grayson,Republican,Donald Trump,749,16.2
Hood River,Democrat,Bernie Sanders,2527,14.1
Lumpkin,Republican,Donald Trump,2453,15.7
Park,Republican,Donald Trump,1901,19.5
Tompkins,Democrat,Bernie Sanders,9298,12.3
Franklin,Republican,Donald Trump,761,17.8
Saint Francis,Democrat,Hillary Clinton,1912,13.9
Hale,Democrat,Hillary Clinton,2426,17.3
Karnes,Democrat,Hillary Clinton,719,14.5
Humboldt,Democrat,Bernie Sanders,13245,15.4
Jefferson,Republican,Donald Trump,533,22.5
Rush,Republican,Donald Trump,2362,17.4
Sutter,Republican,Donald Trump,4697,14.5
Pottawatomie,Democrat,Bernie Sanders,3400,15.6
Martin,Democrat,Hillary Clinton,2469,20.6
Harris,Democrat,Hillary Clinton,156729,9.2
Jefferson,Democrat,Hillary Clinton,64090,14.5
Grant,Republican,Donald Trump,722,13.8
Decatur,Republican,Ted Cruz,173,18.3
Desha,Democrat,Hillary Clinton,1342,17.1
Crawford,Republican,Donald Trump,930,16.9
Walker,Republican,Donald Trump,8394,18.2
Lee,Democrat,Hillary Clinton,956,16.7
Ballard,Democrat,Bernie Sanders,659,19.5
Hidalgo,Democrat,Hillary Clinton,40276,10.4
Wilcox,Republican,Donald Trump,602,16.0
Baxter,Republican,Donald Trump,3798,30.0
Jackson,Republican,Donald Trump,5484,13.5
Idaho County,Republican,Donald Trump,1668,24.0
Blaine,Republican,Donald Trump,543,15.8
Dona Ana,Democrat,Hillary Clinton,9097,14.2
Autauga,Republican,Donald Trump,5387,13.8
Fairfax City,Democrat,Hillary Clinton,1840,15.4
Toole,Republican,Donald Trump,863,15.6
Vermillion,Republican,Donald Trump,1748,18.6
George,Republican,Donald Trump,2245,14.5
Elmore,Republican,Donald Trump,8525,14.0
Taos,Democrat,Bernie Sanders,4325,22.3
Warren,Democrat,Hillary Clinton,1217,14.9
Schoolcraft,Republican,Donald Trump,529,24.1
Forsyth,Republican,Donald Trump,15698,11.1
Buffalo,Republican,Donald Trump,3748,12.9
Caddo,Democrat,Hillary Clinton,16666,14.8
Elmore,Republican,Donald Trump,1252,11.8
Winchester,Democrat,Hillary Clinton,949,14.6
Hooker,Republican,Donald Trump,119,29.0
Daniels,Republican,Donald Trump,340,25.2
Cape Girardeau,Republican,Ted Cruz,7332,15.4
Audubon,Democrat,Hillary Clinton,187,24.3
Clayton,Democrat,Hillary Clinton,25130,8.3
Presque Isle,Republican,Donald Trump,916,28.7
Garrett,Republican,Donald Trump,3564,20.0
Santa Clara,Democrat,Hillary Clinton,109963,12.2
Harrison,Republican,Donald Trump,755,21.0
Fulton,Democrat,Hillary Clinton,315,19.4
Manatee,Republican,Donald Trump,26320,25.5
Clay,Democrat,Bernie Sanders,303,19.6
Murray,Republican,Donald Trump,3084,13.3
Missaukee,Republican,Donald Trump,1221,19.1
Gilmer,Republican,Donald Trump,3314,22.0
Laramie,Democrat,Hillary Clinton,26,14.3
Alexander,Democrat,Hillary Clinton,770,18.2
Okeechobee,Republican,Donald Trump,2202,17.9
St. Landry,Democrat,Hillary Clinton,4606,14.8
Breathitt,Democrat,Bernie Sanders,1716,15.4
Hot Springs,Democrat,Bernie Sanders,1,23.6
San Juan,Democrat,Bernie Sanders,27,20.4
Mahoning,Democrat,Hillary Clinton,21000,19.1
Quitman,Democrat,Hillary Clinton,986,15.0
Logan,Democrat,Bernie Sanders,1131,17.2
Bell,Republican,Donald Trump,692,17.3
Nueces,Democrat,Hillary Clinton,15662,13.0
Dougherty,Democrat,Hillary Clinton,8891,13.6
Martin,Republican,Donald Trump,1398,17.1
Douglas,Democrat,Hillary Clinton,9375,10.3
Madison,Democrat,Bernie Sanders,4385,12.7
Lancaster,Republican,Donald Trump,13251,12.1
Cheboygan,Republican,Donald Trump,2089,24.7
Florence,Democrat,Hillary Clinton,9411,15.0
Platte,Democrat,Bernie Sanders,2,22.7
Calhoun,Democrat,Hillary Clinton,200,22.3
Calhoun,Democrat,Bernie Sanders,503,22.8
Marion,Republican,Donald Trump,3503,20.1
Monroe,Republican,Donald Trump,2262,16.8
St. Helena,Democrat,Hillary Clinton,1407,17.6
Marengo,Democrat,Hillary Clinton,3590,18.6
Evangeline,Democrat,Hillary Clinton,1319,14.3
DeSoto,Democrat,Hillary Clinton,1508,16.0
Spalding,Republican,Donald Trump,4257,16.1
Owen,Republican,Donald Trump,2679,17.3
Pocahontas,Democrat,Hillary Clinton,198,22.3
Midland,Republican,Ted Cruz,4720,16.4
Early,Republican,Donald Trump,760,18.4
Alameda,Democrat,Hillary Clinton,107102,12.5
Gogebic,Democrat,Bernie Sanders,790,22.9
Santa Cruz,Democrat,Hillary Clinton,2496,15.8
Coles,Republican,Donald Trump,3156,15.0
Henderson,Democrat,Hillary Clinton,2887,15.7
Summit,Democrat,Bernie Sanders,1645,9.8
Kearney,Republican,Donald Trump,614,18.8
Lee,Democrat,Hillary Clinton,2207,16.1
Valley,Republican,Donald Trump,575,21.6
Jefferson,Democrat,Hillary Clinton,17581,15.1
Cedar,Republican,Ted Cruz,1404,24.0
Boyle,Democrat,Hillary Clinton,1648,17.6
Clarke,Republican,Donald Trump,1399,18.5
Porter,Republican,Donald Trump,16194,14.4
Taylor,Republican,Donald Trump,1203,18.0
Jefferson,Democrat,Bernie Sanders,8281,14.7
Bradford,Republican,Donald Trump,1802,17.6
Peoria,Democrat,Hillary Clinton,11341,15.0
Mason,Republican,Donald Trump,1785,21.2
Kinney,Democrat,Hillary Clinton,211,25.3
Santa Cruz,Democrat,Bernie Sanders,25171,13.5
Dundy,Republican,Donald Trump,219,23.3
San Luis Obispo,Republican,Donald Trump,19313,17.5
Screven,Republican,Donald Trump,801,16.8
Ashland,Democrat,Bernie Sanders,2304,17.5
Cameron,Democrat,Hillary Clinton,20326,12.4
Maui,Democrat,Bernie Sanders,4419,15.1
Oceana,Republican,Ted Cruz,1698,19.1
Mayes,Democrat,Bernie Sanders,2144,17.1
Saline,Republican,Ted Cruz,7507,17.1
Oconee,Republican,Donald Trump,2871,13.5
Pasco,Republican,Donald Trump,33536,22.5
Poinsett,Republican,Donald Trump,1036,17.1
Iowa,Democrat,Bernie Sanders,3198,16.7
Flagler,Republican,Donald Trump,9684,28.4
Hudspeth,Democrat,Hillary Clinton,147,17.2
Kent,Democrat,Bernie Sanders,43375,12.2
Calhoun,Democrat,Hillary Clinton,499,12.5
McCone,Republican,Donald Trump,410,22.5
Bibb,Republican,Donald Trump,1959,14.8
Effingham,Republican,Donald Trump,3648,10.8
Jefferson,Democrat,Hillary Clinton,1550,13.9
Banner,Republican,Donald Trump,108,29.6
Atchison,Republican,Donald Trump,487,23.8
Bremer,Democrat,Hillary Clinton,640,18.4
Huntington,Republican,Donald Trump,4100,15.9
Burt,Republican,Donald Trump,603,23.9
Coffee,Republican,Donald Trump,4304,15.9
Humphreys,Democrat,Hillary Clinton,2894,14.2
Webster,Democrat,Bernie Sanders,1169,16.4
King and Queen,Democrat,Hillary Clinton,477,20.6
Emanuel,Republican,Donald Trump,1489,15.8
Bay,Republican,Donald Trump,14426,16.1
Dale,Republican,Donald Trump,4151,15.4
Gladwin,Republican,Donald Trump,1774,25.1
Jeff Davis,Republican,Donald Trump,1071,14.2
Orange,Republican,Donald Trump,2574,17.5
Scotland,Republican,Donald Trump,395,18.9
Meriwether,Democrat,Hillary Clinton,1463,18.6
Fredericksburg,Democrat,Hillary Clinton,1396,10.1
Aurora,Democrat,Hillary Clinton,150,19.7
Richland,Democrat,Bernie Sanders,1784,19.5
Greene,Democrat,Hillary Clinton,2714,17.9
Douglas,Republican,Donald Trump,23754,11.5
Clay,Democrat,Hillary Clinton,623,11.2
Forsyth,Democrat,Hillary Clinton,24446,14.4
Gilchrist,Republican,Donald Trump,1860,19.4
Bollinger,Republican,Donald Trump,1272,18.0
Mitchell,Democrat,Hillary Clinton,1338,14.9
Taylor,Democrat,Hillary Clinton,140,21.1
Otsego,Democrat,Bernie Sanders,2623,18.6
Jasper,Republican,Donald Trump,3903,15.8
Franklin,Democrat,Hillary Clinton,665,20.1
Caldwell,Republican,Donald Trump,780,18.9
Scott,Democrat,Hillary Clinton,2505,10.7
Miller,Republican,Donald Trump,2482,18.0
Winston,Democrat,Hillary Clinton,1442,17.4
Columbia,Democrat,Bernie Sanders,6455,16.2
Tulare,Republican,Donald Trump,15334,10.4
Gem,Republican,Ted Cruz,1391,21.4
Dodge,Republican,Donald Trump,1360,15.2
Clark,Republican,Donald Trump,10635,14.3
St. Louis County,Democrat,Hillary Clinton,89373,16.5
Little River,Democrat,Hillary Clinton,721,19.5
Alpena,Republican,Donald Trump,1885,21.5
Frio,Democrat,Hillary Clinton,1864,11.6
Tangipahoa,Democrat,Hillary Clinton,4267,12.8
Clarke,Democrat,Hillary Clinton,232,17.6
Kootenai,Republican,Ted Cruz,11924,17.0
Livingston,Republican,Donald Trump,15359,14.7
St. Mary's,Republican,Donald Trump,6576,12.0
Perry,Republican,Donald Trump,1642,16.6
San Diego,Democrat,Hillary Clinton,139813,12.7
Fayette,Democrat,Hillary Clinton,9184,19.4
DeKalb,Democrat,Hillary Clinton,82348,10.4
Choctaw,Democrat,Hillary Clinton,1772,20.8
Salt Lake,Democrat,Bernie Sanders,35610,9.6
