"county";"party";"density"
Autauga;Republican;91.8
Baldwin;Republican;114.6
Barbour;Democrat;31.0
Bibb;Republican;36.8
Blount;Republican;88.9
Bullock;Democrat;17.5
Butler;Democrat;27.0
Calhoun;Republican;195.7
Chambers;Democrat;57.4
Cherokee;Republican;46.9
Chilton;Republican;63.0
Choctaw;Democrat;15.2
Clarke;Democrat;20.9
Clay;Republican;23.1
Cleburne;Republican;26.7
Coffee;Republican;73.6
Colbert;Democrat;91.8
Conecuh;Democrat;15.6
Coosa;Republican;17.7
Covington;Republican;36.6
Crenshaw;Republican;22.8
Cullman;Republican;109.4
Dale;Republican;89.6
Dallas;Democrat;44.8
DeKalb;Republican;91.5
Elmore;Republican;128.2
Escambia;Republican;40.5
Etowah;Republican;195.2
Fayette;Republican;27.5
Franklin;Republican;50.0
Geneva;Republican;46.6
Greene;Democrat;14.0
Hale;Democrat;24.5
Henry;Republican;30.8
Houston;Republican;175.1
Jackson;Republican;49.4
Jefferson;Democrat;592.5
Lamar;Republican;24.1
Lauderdale;Republican;138.8
Lawrence;Republican;49.7
Lee;Democrat;230.8
Limestone;Republican;147.8
Lowndes;Democrat;15.8
Macon;Democrat;35.2
Madison;Republican;417.7
Marengo;Democrat;21.5
Marion;Republican;41.5
Marshall;Republican;164.4
Mobile;Democrat;335.9
Monroe;Democrat;22.5
Montgomery;Democrat;292.5
Morgan;Republican;206.3
Perry;Democrat;14.7
Pickens;Democrat;22.4
Pike;Republican;48.9
Randolph;Republican;39.5
Russell;Democrat;82.6
St. Clair;Republican;132.3
Shelby;Republican;248.5
Sumter;Democrat;15.2
Talladega;Republican;111.7
Tallapoosa;Republican;58.1
Tuscaloosa;Democrat;147.3
Walker;Republican;84.7
Washington;Democrat;16.3
Wilcox;Democrat;13.1
Winston;Republican;39.9
Apache;Democrat;6.4
Cochise;Republican;21.3
Coconino;Democrat;7.2
Gila;Republican;11.3
Graham;Republican;8.1
Greenlee;Democrat;4.6
La Paz;Republican;4.6
Maricopa;Republican;414.9
Mohave;Republican;15.0
Navajo;Democrat;10.8
Pima;Democrat;106.7
Pinal;Republican;70.0
Santa Cruz;Democrat;38.3
Yavapai;Republican;26.0
Yuma;Republican;35.5
Arkansas;Republican;19.2
Ashley;Democrat;23.6
Baxter;Republican;74.9
Benton;Republican;261.2
Boone;Republican;62.5
Bradley;Republican;17.7
Calhoun;Democrat;8.5
Carroll;Republican;43.6
Carroll;Republican;43.6
Carroll;Republican;43.6
Carroll;Republican;43.6
Carroll;Democrat;43.6
Carroll;Democrat;43.6
Carroll;Republican;43.6
Chicot;Democrat;18.3
Clark;Democrat;26.6
Clay;Democrat;25.2
Cleburne;Republican;46.9
Cleveland;Republican;14.5
Columbia;Republican;32.1
Conway;Democrat;38.5
Craighead;Republican;136.4
Crawford;Republican;104.4
Crittenden;Democrat;83.5
Cross;Republican;29.0
Dallas;Democrat;12.2
Desha;Democrat;16.9
Drew;Democrat;22.3
Faulkner;Republican;174.8
Franklin;Republican;29.8
Fulton;Democrat;19.8
Garland;Republican;141.7
Grant;Republican;28.3
Greene;Republican;72.9
Hempstead;Republican;31.1
Hot Spring;Republican;53.5
Howard;Republican;23.4
Independence;Republican;48.0
Izard;Republican;23.6
Jackson;Republican;28.4
Jefferson;Democrat;88.9
Johnson;Republican;38.7
Lafayette;Democrat;14.5
Lawrence;Democrat;29.6
Lee;Democrat;17.3
Lincoln;Democrat;25.2
Little River;Democrat;24.7
Logan;Republican;31.6
Lonoke;Republican;88.7
Madison;Democrat;18.8
Marion;Republican;27.9
Miller;Republican;69.5
Mississippi;Democrat;51.6
Monroe;Democrat;13.4
Montgomery;Republican;12.2
Nevada;Democrat;14.6
Newton;Republican;10.1
Ouachita;Democrat;35.6
Perry;Democrat;18.9
Phillips;Democrat;31.3
Pike;Republican;18.8
Poinsett;Republican;32.4
Polk;Republican;24.1
Pope;Republican;76.0
Prairie;Democrat;13.4
Pulaski;Democrat;503.8
Randolph;Republican;27.6
Saint Francis;Democrat;44.5
Saline;Republican;148.0
Scott;Republican;12.6
Searcy;Republican;12.3
Sebastian;Republican;236.4
Sevier;Republican;30.2
Sharp;Republican;28.6
Stone;Republican;20.4
Union;Democrat;40.1
Van Buren;Republican;24.4
Washington;Democrat;215.6
White;Republican;74.5
Woodruff;Democrat;12.4
Yell;Republican;23.9
Alameda;Democrat;2043.6
Alpine;Democrat;1.6
Amador;Republican;64.1
Butte;Republican;134.4
Calaveras;Republican;44.7
Colusa;Republican;18.6
Contra Costa;Democrat;1465.2
Del Norte;Republican;28.4
El Dorado;Republican;106.0
Fresno;Republican;156.2
Glenn;Republican;21.4
Humboldt;Democrat;37.7
Imperial;Democrat;41.8
Inyo;Republican;1.8
Kern;Republican;103.3
Kings;Republican;110.1
Lake;Democrat;51.5
Lassen;Republican;7.7
Los Angeles;Democrat;2419.6
Madera;Republican;70.6
Marin;Democrat;485.1
Mariposa;Republican;12.6
Mendocino;Democrat;25.1
Merced;Democrat;132.2
Modoc;Republican;2.5
Mono;Democrat;4.7
Monterey;Democrat;126.5
Napa;Democrat;182.4
Nevada;Democrat;103.1
Orange;Republican;3807.7
Placer;Republican;247.6
Plumas;Republican;7.8
Riverside;Republican;303.8
Sacramento;Democrat;1470.8
San Benito;Democrat;39.8
San Bernardino;Democrat;101.5
San Diego;Democrat;735.8
San Francisco;Democrat;17179.1
San Joaquin;Democrat;492.6
San Luis Obispo;Republican;81.7
San Mateo;Democrat;1602.2
Santa Barbara;Democrat;155.0
Santa Clara;Democrat;1381.0
Santa Cruz;Democrat;589.4
Shasta;Republican;46.9
Sierra;Republican;3.4
Siskiyou;Republican;7.2
Solano;Democrat;503.0
Sonoma;Democrat;307.1
Stanislaus;Republican;344.2
Sutter;Republican;157.3
Tehama;Republican;21.5
Trinity;Republican;4.3
Tulare;Republican;91.7
Tuolumne;Republican;24.9
Ventura;Democrat;446.7
Yolo;Democrat;197.9
Yuba;Republican;114.2
Adams;Democrat;378.2
Alamosa;Democrat;21.4
Arapahoe;Democrat;716.7
Archuleta;Democrat;8.9
Baca;Democrat;1.5
Bent;Democrat;4.3
Boulder;Democrat;405.6
Broomfield;Democrat;1691.9
Chaffee;Democrat;17.6
Cheyenne;Democrat;1.0
Clear Creek;Democrat;23.0
Conejos;Democrat;6.4
Costilla;Democrat;2.9
Crowley;Democrat;7.4
Custer;Democrat;5.8
Delta;Democrat;27.1
Denver;Democrat;3922.6
Dolores;Democrat;1.9
Douglas;Democrat;339.7
Eagle;Democrat;31.0
Elbert;Democrat;12.5
El Paso;Democrat;292.6
Fremont;Democrat;30.5
Garfield;Democrat;19.1
Gilpin;Democrat;36.3
Grand;Democrat;8.0
Gunnison;Democrat;4.7
Hinsdale;Democrat;0.8
Huerfano;Democrat;4.2
Jackson;Democrat;0.9
Jefferson;Democrat;699.5
Kiowa;Democrat;0.8
Kit Carson;Democrat;3.8
Lake;Democrat;19.4
La Plata;Democrat;30.3
Larimer;Democrat;115.4
Las Animas;Democrat;3.2
Lincoln;Democrat;2.1
Logan;Democrat;12.4
Mesa;Democrat;44.1
Mineral;Democrat;0.8
Moffat;Democrat;2.9
Montezuma;Democrat;12.6
Montrose;Democrat;18.4
Morgan;Democrat;22.0
Otero;Democrat;14.9
Ouray;Democrat;8.2
Park;Democrat;7.4
Phillips;Democrat;6.5
Pitkin;Democrat;17.7
Prowers;Democrat;7.7
Pueblo;Democrat;66.7
Rio Blanco;Democrat;2.1
Rio Grande;Democrat;13.1
Routt;Democrat;10.0
Saguache;Democrat;1.9
San Juan;Democrat;1.8
San Miguel;Democrat;5.7
Sedgwick;Democrat;4.3
Summit;Democrat;46.0
Teller;Democrat;41.9
Washington;Democrat;1.9
Weld;Democrat;63.4
Yuma;Democrat;4.2
Kent;Republican;276.9
New Castle;Democrat;1263.2
Sussex;Republican;210.6
Alachua;Democrat;282.7
Baker;Republican;46.3
Bay;Republican;222.6
Bradford;Republican;97.0
Brevard;Republican;535.0
Broward;Democrat;1444.9
Calhoun;Democrat;25.8
Charlotte;Republican;235.2
Citrus;Republican;242.8
Clay;Republican;315.8
Collier;Republican;160.9
Columbia;Republican;84.7
DeSoto;Republican;54.7
Dixie;Republican;23.3
Duval;Democrat;1133.9
Escambia;Republican;453.4
Flagler;Republican;197.1
Franklin;Democrat;21.6
Gadsden;Democrat;89.8
Gilchrist;Republican;48.4
Glades;Republican;16.0
Gulf;Republican;28.1
Hamilton;Democrat;28.8
Hardee;Republican;43.5
Hendry;Republican;34.0
Hernando;Republican;365.6
Highlands;Republican;97.2
Hillsborough;Democrat;1204.9
Holmes;Republican;41.6
Indian River;Republican;274.5
Jackson;Democrat;54.2
Jefferson;Democrat;24.7
Lafayette;Republican;16.3
Lake;Republican;316.6
Lee;Republican;788.7
Leon;Democrat;413.1
Levy;Republican;36.5
Liberty;Democrat;10.0
Madison;Democrat;27.6
Manatee;Republican;434.5
Marion;Republican;209.1
Martin;Republican;269.2
Miami-Dade;Democrat;1315.5
Monroe;Republican;74.3
Nassau;Republican;113.0
Okaloosa;Republican;194.4
Okeechobee;Republican;52.0
Orange;Democrat;1268.5
Osceola;Democrat;202.4
Palm Beach;Democrat;670.2
Pasco;Republican;622.2
Pinellas;Democrat;3347.5
Polk;Republican;334.9
Putnam;Republican;102.2
St. Johns;Republican;316.4
St. Lucie;Republican;485.7
Santa Rosa;Republican;149.6
Sarasota;Republican;682.6
Seminole;Republican;1367.0
Sumter;Republican;170.8
Suwannee;Republican;60.3
Taylor;Republican;21.6
Union;Republican;63.8
Volusia;Republican;449.2
Wakulla;Republican;50.8
Walton;Republican;53.0
Washington;Republican;42.7
Appling;Republican;36.0
Atkinson;Republican;24.7
Bacon;Republican;42.9
Baker;Democrat;10.1
Baldwin;Democrat;177.3
Banks;Republican;79.3
Barrow;Republican;432.7
Bartow;Republican;217.9
Ben Hill;Republican;70.5
Berrien;Republican;42.7
Bibb;Democrat;622.8
Bleckley;Republican;60.5
Brantley;Republican;41.6
Brooks;Republican;32.9
Bryan;Republican;69.3
Bulloch;Republican;104.4
Burke;Democrat;28.2
Butts;Republican;128.3
Calhoun;Democrat;23.9
Camden;Republican;82.4
Candler;Republican;45.3
Carroll;Republican;221.5
Catoosa;Republican;394.3
Charlton;Republican;15.7
Chatham;Democrat;621.7
Chattahoochee;Democrat;45.3
Chattooga;Republican;83.0
Cherokee;Republican;508.3
Clarke;Democrat;979.1
Clay;Democrat;16.3
Clayton;Democrat;1832.5
Clinch;Republican;8.5
Cobb;Democrat;2026.4
Coffee;Republican;73.7
Colquitt;Republican;83.6
Columbia;Republican;427.6
Cook;Republican;75.8
Coweta;Republican;288.8
Crawford;Republican;38.9
Crisp;Republican;86.0
Dade;Republican;95.6
Dawson;Republican;105.9
Decatur;Republican;46.6
DeKalb;Democrat;2585.7
Dodge;Republican;44.0
Dooly;Democrat;38.1
Dougherty;Democrat;287.7
Douglas;Democrat;661.8
Early;Republican;21.5
Echols;Republican;9.7
Effingham;Republican;109.4
Elbert;Republican;57.4
Emanuel;Republican;33.2
Evans;Republican;60.2
Fannin;Republican;61.2
Fayette;Republican;548.3
Floyd;Republican;188.9
Forsyth;Republican;783.5
Franklin;Republican;84.5
Fulton;Democrat;1748.0
Gilmer;Republican;66.3
Glascock;Republican;21.4
Glynn;Republican;189.7
Gordon;Republican;155.1
Grady;Republican;55.0
Greene;Republican;41.3
Gwinnett;Democrat;1871.2
Habersham;Republican;155.5
Hall;Republican;457.5
Hancock;Democrat;20.0
Haralson;Republican;102.0
Harris;Republican;69.0
Hart;Republican;108.5
Heard;Republican;40.0
Henry;Democrat;633.0
Houston;Republican;372.5
Irwin;Republican;26.9
Jackson;Republican;178.1
Jasper;Republican;37.8
Jeff Davis;Republican;45.6
Jefferson;Democrat;32.2
Jenkins;Republican;24.0
Johnson;Republican;32.9
Jones;Republican;72.8
Lamar;Republican;99.8
Lanier;Republican;54.4
Laurens;Republican;60.0
Lee;Republican;79.5
Liberty;Democrat;129.5
Lincoln;Republican;38.0
Long;Republican;36.1
Lowndes;Republican;220.2
Lumpkin;Republican;105.9
McDuffie;Republican;85.0
McIntosh;Republican;33.8
Macon;Democrat;36.8
Madison;Republican;99.6
Marion;Republican;23.9
Meriwether;Democrat;43.9
Miller;Republican;21.7
Mitchell;Democrat;45.9
Monroe;Republican;66.8
Montgomery;Republican;38.1
Morgan;Republican;51.4
Murray;Republican;115.0
Muscogee;Democrat;877.5
Newton;Democrat;367.3
Oconee;Republican;178.0
Oglethorpe;Republican;33.9
Paulding;Republican;455.8
Peach;Democrat;184.3
Pickens;Republican;126.8
Pierce;Republican;59.3
Pike;Republican;82.7
Polk;Republican;133.6
Pulaski;Republican;48.2
Putnam;Republican;61.6
Quitman;Democrat;16.6
Rabun;Republican;44.0
Randolph;Democrat;18.0
Richmond;Democrat;618.4
Rockdale;Democrat;656.5
Schley;Republican;30.0
Screven;Republican;22.6
Seminole;Republican;37.1
Spalding;Republican;326.1
Stephens;Republican;146.1
Stewart;Democrat;13.2
Sumter;Democrat;68.0
Talbot;Democrat;17.5
Taliaferro;Democrat;8.8
Tattnall;Republican;53.2
Taylor;Republican;23.6
Telfair;Republican;37.7
Terrell;Democrat;27.8
Thomas;Republican;82.1
Tift;Republican;154.9
Toombs;Republican;74.8
Towns;Republican;62.9
Treutlen;Republican;34.5
Troup;Republican;161.9
Turner;Republican;31.3
Twiggs;Democrat;25.2
Union;Republican;66.3
Upson;Republican;84.0
Walker;Republican;154.0
Walton;Republican;257.2
Ware;Republican;40.7
Warren;Democrat;20.5
Washington;Democrat;31.2
Wayne;Republican;46.9
Webster;Republican;13.4
Wheeler;Republican;25.1
White;Republican;112.8
Whitfield;Republican;353.2
Wilcox;Republican;24.5
Wilkes;Republican;22.6
Wilkinson;Democrat;21.4
Worth;Republican;38.0
Hawaii;Democrat;45.9
Honolulu;Democrat;1586.7
Kauai;Democrat;108.2
Maui;Democrat;133.3
Ada;Republican;372.8
Adams;Republican;2.9
Bannock;Republican;74.5
Bear Lake;Republican;6.1
Benewah;Republican;12.0
Bingham;Republican;21.8
Blaine;Republican;8.1
Boise;Republican;3.7
Bonner;Republican;23.6
Bonneville;Republican;55.9
Boundary;Republican;8.6
Butte;Republican;1.3
Camas;Republican;1.0
Canyon;Republican;321.6
Caribou;Republican;3.9
Cassia;Republican;8.9
Clark;Republican;0.6
Clearwater;Republican;3.6
Custer;Republican;0.9
Elmore;Republican;8.8
Franklin;Republican;19.3
Fremont;Republican;7.1
Gem;Republican;29.8
Gooding;Republican;21.2
Idaho County;Republican;1.9
Jefferson;Republican;23.9
Jerome;Republican;37.5
Kootenai;Republican;111.3
Latah;Republican;34.6
Lemhi;Republican;1.7
Lewis;Republican;8.0
Lincoln;Republican;4.3
Madison;Republican;80.0
Minidoka;Republican;26.5
Nez Perce;Republican;46.3
Oneida;Republican;3.6
Owyhee;Republican;1.5
Payette;Republican;55.6
Power;Republican;5.6
Shoshone;Republican;4.9
Teton;Republican;22.6
Twin Falls;Republican;40.2
Valley;Republican;2.7
Washington;Republican;7.0
Adams;Republican;78.5
Alexander;Democrat;35.0
Bond;Republican;46.7
Boone;Republican;193.0
Brown;Republican;22.7
Bureau;Republican;40.2
Calhoun;Democrat;20.0
Carroll;Republican;34.6
Cass;Republican;36.3
Champaign;Democrat;201.8
Christian;Republican;49.1
Clark;Republican;32.6
Clay;Republican;29.5
Clinton;Republican;79.7
Coles;Republican;106.0
Crawford;Republican;44.7
Cumberland;Republican;31.9
Cumberland;Republican;31.9
DeKalb;Democrat;166.6
DeWitt;Republican;41.7
Douglas;Republican;48.0
DuPage;Democrat;2799.8
Edgar;Republican;29.8
Edwards;Republican;30.2
Effingham;Republican;71.5
Fayette;Republican;30.9
Ford;Republican;29.0
Franklin;Republican;96.8
Fulton;Democrat;42.8
Gallatin;Democrat;17.3
Greene;Republican;25.6
Grundy;Republican;119.8
Hamilton;Republican;19.5
Hancock;Republican;24.1
Hardin;Republican;24.3
Henderson;Republican;19.3
Henry;Republican;61.3
Iroquois;Republican;26.6
Jackson;Democrat;103.1
Jasper;Republican;19.6
Jefferson;Republican;68.0
Jersey;Republican;62.2
JoDaviess;Republican;37.7
Johnson;Republican;36.6
Kane;Democrat;990.8
Kankakee;Republican;167.7
Kendall;Democrat;358.2
Knox;Democrat;73.9
Lake;Democrat;1585.6
LaSalle;Republican;100.4
Lawrence;Republican;45.2
Lee;Republican;49.7
Livingston;Republican;37.3
Logan;Republican;49.0
McDonough;Republican;55.3
McHenry;Republican;511.9
McLean;Republican;143.3
Macon;Republican;190.8
Macoupin;Democrat;55.4
Madison;Democrat;376.3
Marion;Republican;68.9
Marshall;Republican;32.7
Mason;Republican;27.2
Massac;Republican;65.0
Menard;Republican;40.4
Mercer;Republican;29.3
Monroe;Republican;85.6
Montgomery;Republican;42.8
Morgan;Republican;62.5
Moultrie;Republican;44.2
Ogle;Republican;70.5
Peoria;Democrat;301.2
Perry;Republican;50.6
Piatt;Republican;38.1
Pike;Republican;19.8
Pope;Republican;12.1
Pulaski;Republican;30.9
Putnam;Democrat;37.5
Randolph;Republican;58.2
Richland;Republican;45.1
Rock Island;Democrat;345.0
St. Clair;Democrat;410.6
Saline;Republican;65.6
Sangamon;Republican;227.4
Schuyler;Republican;17.3
Scott;Republican;21.3
Shelby;Republican;29.5
Stark;Republican;20.8
Stephenson;Republican;84.5
Tazewell;Republican;208.6
Union;Republican;43.1
Vermilion;Republican;90.9
Wabash;Republican;53.5
Warren;Republican;32.6
Washington;Republican;26.2
Wayne;Republican;23.5
White;Republican;29.6
Whiteside;Democrat;85.5
Will;Democrat;809.6
Williamson;Republican;157.9
Winnebago;Democrat;575.2
Woodford;Republican;73.3
Adams;Republican;101.4
Allen;Republican;540.6
Bartholomew;Republican;188.7
Benton;Republican;21.8
Blackford;Republican;77.3
Boone;Republican;133.9
Brown;Republican;48.9
Carroll;Republican;54.1
Cass;Republican;94.5
Clark;Republican;295.6
Clay;Republican;75.2
Clinton;Republican;82.0
Crawford;Republican;35.1
Daviess;Republican;73.7
Dearborn;Republican;164.1
Decatur;Republican;69.1
DeKalb;Republican;116.4
Delaware;Republican;300.1
Dubois;Republican;98.0
Elkhart;Republican;426.5
Fayette;Republican;112.9
Floyd;Republican;504.1
Fountain;Republican;43.6
Franklin;Republican;60.1
Fulton;Republican;56.6
Gibson;Republican;68.7
Grant;Republican;169.2
Greene;Republican;61.1
Hamilton;Republican;696.4
Hancock;Republican;228.8
Harrison;Republican;81.2
Hendricks;Republican;357.4
Henry;Republican;126.2
Howard;Republican;282.4
Huntington;Republican;97.0
Jackson;Republican;83.2
Jasper;Republican;59.8
Jay;Republican;55.4
Jefferson;Republican;89.9
Jennings;Republican;75.7
Johnson;Republican;435.8
Knox;Republican;74.5
Kosciusko;Republican;145.6
LaGrange;Republican;97.8
Lake;Democrat;994.1
LaPorte;Republican;186.3
Lawrence;Republican;102.7
Madison;Republican;291.3
Marion;Democrat;2279.6
Marshall;Republican;106.1
Martin;Republican;30.8
Miami;Republican;98.7
Monroe;Democrat;349.7
Montgomery;Republican;75.6
Morgan;Republican;170.5
Newton;Republican;35.5
Noble;Republican;115.7
Ohio;Republican;71.1
Orange;Republican;49.8
Owen;Republican;56.0
Parke;Republican;39.0
Perry;Republican;50.7
Pike;Republican;38.4
Porter;Republican;393.0
Posey;Republican;63.3
Pulaski;Republican;30.9
Putnam;Republican;79.0
Randolph;Republican;57.9
Ripley;Republican;64.6
Rush;Republican;42.6
St. Joseph;Republican;583.0
Scott;Republican;127.0
Shelby;Republican;108.1
Spencer;Republican;52.8
Starke;Republican;75.6
Steuben;Republican;110.7
Sullivan;Republican;48.0
Switzerland;Republican;48.1
Tippecanoe;Republican;345.7
Tipton;Republican;61.2
Union;Republican;46.6
Vanderburgh;Republican;769.7
Vermillion;Republican;63.1
Vigo;Republican;267.4
Wabash;Republican;79.7
Warren;Republican;23.3
Warrick;Republican;155.1
Washington;Republican;55.0
Wayne;Republican;171.5
Wells;Republican;75.1
White;Republican;48.8
Whitley;Republican;99.2
Adair;Democrat;13.5
Adams;Democrat;9.5
Allamakee;Democrat;22.4
Appanoose;Republican;25.9
Audubon;Democrat;13.8
Benton;Democrat;36.4
Black Hawk;Democrat;231.7
Boone;Democrat;46.0
Bremer;Democrat;55.7
Buchanan;Democrat;36.7
Buena Vista;Republican;35.2
Butler;Democrat;25.6
Calhoun;Democrat;17.0
Calhoun;Democrat;17.0
Carroll;Democrat;36.6
Cass;Democrat;24.7
Cedar;Democrat;31.9
Cerro Gordo;Democrat;77.7
Cherokee;Republican;20.9
Chickasaw;Democrat;24.7
Clarke;Democrat;21.5
Clay;Democrat;29.4
Clayton;Democrat;23.3
Clinton;Democrat;70.7
Crawford;Republican;23.9
Dallas;Republican;112.4
Davis;Republican;17.4
Decatur;Republican;15.9
Delaware;Democrat;30.7
Des Moines;Democrat;96.9
Dickinson;Democrat;43.8
Dubuque;Democrat;154.0
Emmet;Democrat;26.0
Fayette;Democrat;28.6
Floyd;Democrat;32.6
Franklin;Democrat;18.4
Fremont;Republican;14.6
Greene;Democrat;16.4
Grundy;Republican;24.8
Guthrie;Democrat;18.5
Hamilton;Democrat;27.2
Hancock;Republican;19.9
Hardin;Republican;30.8
Harrison;Republican;21.4
Henry;Republican;46.4
Howard;Democrat;20.2
Humboldt;Republican;22.6
Ida;Republican;16.4
Iowa;Democrat;27.9
Jackson;Democrat;31.2
Jasper;Democrat;50.4
Jefferson;Democrat;38.7
Johnson;Democrat;213.1
Jones;Democrat;35.9
Keokuk;Democrat;18.1
Kossuth;Democrat;16.0
Lee;Democrat;69.3
Linn;Democrat;294.6
Louisa;Republican;28.3
Lucas;Republican;20.7
Lyon;Republican;19.7
Madison;Republican;27.9
Mahaska;Republican;39.2
Marion;Republican;60.1
Marshall;Democrat;71.0
Mills;Republican;34.4
Mitchell;Democrat;23.0
Monona;Republican;13.3
Monroe;Republican;18.4
Montgomery;Democrat;25.3
Muscatine;Democrat;97.7
O'Brien;Republican;25.1
Osceola;Republican;16.2
Page;Republican;29.8
Palo Alto;Democrat;16.7
Plymouth;Republican;29.0
Pocahontas;Democrat;12.7
Polk;Democrat;750.5
Pottawattamie;Democrat;98.0
Poweshiek;Democrat;32.3
Ringgold;Democrat;9.6
Sac;Republican;18.0
Scott;Democrat;360.7
Shelby;Democrat;20.6
Sioux;Republican;43.9
Story;Democrat;156.3
Tama;Democrat;24.6
Taylor;Republican;11.9
Taylor;Democrat;11.9
Union;Democrat;29.6
Van Buren;Republican;15.6
Wapello;Democrat;82.5
Warren;Democrat;81.1
Washington;Republican;38.2
Wayne;Republican;12.2
Webster;Democrat;53.1
Winnebago;Democrat;27.1
Winneshiek;Democrat;30.5
Woodbury;Democrat;117.1
Worth;Democrat;19.0
Wright;Democrat;22.8
Adair;Republican;46.0
Allen;Republican;58.0
Anderson;Democrat;106.1
Ballard;Democrat;33.4
Barren;Democrat;86.5
Bath;Democrat;41.6
Bell;Republican;79.9
Boone;Democrat;482.3
Bourbon;Democrat;69.0
Boyd;Democrat;309.9
Boyle;Democrat;157.8
Bracken;Democrat;41.3
Breathitt;Democrat;28.2
Breckinridge;Democrat;35.4
Bullitt;Democrat;250.2
Butler;Republican;29.8
Caldwell;Democrat;37.7
Calloway;Democrat;96.6
Campbell;Democrat;597.0
Carlisle;Democrat;26.9
Carroll;Democrat;84.1
Carter;Democrat;67.7
Casey;Republican;35.9
Christian;Democrat;103.1
Clark;Democrat;141.1
Clay;Republican;46.3
Clinton;Republican;52.1
Crittenden;Democrat;25.9
Cumberland;Republican;22.5
Daviess;Democrat;210.9
Edmonson;Republican;40.2
Elliott;Democrat;33.5
Estill;Democrat;58.0
Fayette;Democrat;1042.8
Fleming;Democrat;41.2
Floyd;Democrat;100.3
Franklin;Democrat;237.2
Fulton;Democrat;33.2
Gallatin;Democrat;84.8
Garrard;Republican;73.5
Grant;Democrat;95.6
Graves;Democrat;67.3
Grayson;Republican;51.8
Green;Republican;39.4
Greenup;Democrat;107.2
Hancock;Democrat;45.6
Hardin;Democrat;169.3
Harlan;Democrat;62.9
Harrison;Democrat;61.5
Hart;Democrat;44.2
Henderson;Democrat;105.9
Henry;Democrat;53.9
Hickman;Democrat;20.2
Hopkins;Democrat;86.6
Jackson;Republican;39.1
Jefferson;Democrat;1948.1
Jessamine;Democrat;282.3
Johnson;Republican;89.2
Kenton;Democrat;996.7
Knott;Democrat;46.5
Knox;Republican;82.5
LaRue;Democrat;54.3
Laurel;Republican;135.6
Lawrence;Democrat;38.2
Lee;Republican;37.8
Leslie;Republican;28.2
Letcher;Democrat;72.6
Lewis;Republican;28.7
Lincoln;Democrat;74.1
Livingston;Democrat;30.4
Logan;Democrat;48.6
Lyon;Democrat;38.9
McCracken;Democrat;263.6
McCreary;Republican;42.9
McLean;Democrat;37.8
Madison;Democrat;189.6
Magoffin;Democrat;43.2
Marion;Democrat;57.8
Marshall;Democrat;104.4
Martin;Republican;56.3
Mason;Democrat;72.8
Meade;Democrat;93.6
Menifee;Democrat;31.0
Mercer;Democrat;85.7
Metcalfe;Democrat;34.9
Monroe;Republican;33.3
Montgomery;Democrat;134.3
Morgan;Democrat;36.5
Muhlenberg;Democrat;67.4
Nelson;Democrat;104.0
Nicholas;Democrat;36.6
Ohio;Democrat;40.6
Oldham;Democrat;322.2
