"county","party","candidate","votes","persons_per_household"
Columbia,Democrat,Bernie Sanders,6455,2.42
Bannock,Republican,Ted Cruz,4404,2.68
Putnam,Republican,Donald Trump,565,2.18
Hughes,Democrat,Bernie Sanders,873,2.47
Holmes,Republican,Donald Trump,1239,2.65
Fayette,Democrat,Bernie Sanders,3585,2.54
Crawford,Republican,Donald Trump,1108,2.37
Quitman,Democrat,Hillary Clinton,986,2.53
Richland,Republican,Donald Trump,1469,2.41
Bulloch,Republican,Donald Trump,3111,2.61
Jennings,Republican,Donald Trump,3361,2.63
Rock,Democrat,Bernie Sanders,17337,2.48
LaPorte,Republican,Donald Trump,9494,2.41
Carroll,Republican,Marco Rubio,0,2.47
Dodge,Republican,Donald Trump,2760,2.34
Lunenburg,Democrat,Hillary Clinton,738,2.48
Greenwood,Democrat,Hillary Clinton,3588,2.49
Breathitt,Democrat,Bernie Sanders,1716,2.52
Adair,Republican,Donald Trump,1512,2.44
Oconee,Republican,Donald Trump,2871,2.88
El Paso,Democrat,Hillary Clinton,36067,3.13
Tishomingo,Republican,Donald Trump,1854,2.52
Appling,Republican,Donald Trump,1290,2.59
Phillips,Democrat,Bernie Sanders,18,2.59
Cheyenne,Republican,Donald Trump,1130,2.25
Passaic,Democrat,Hillary Clinton,29538,3.03
Baraga,Republican,Donald Trump,468,2.07
Custer,Democrat,Bernie Sanders,45,2.06
McLean,Republican,Ted Cruz,13085,2.54
Douglas,Republican,Donald Trump,1657,2.61
Montgomery,Democrat,Hillary Clinton,109304,2.72
Cameron,Democrat,Hillary Clinton,20326,3.46
Clay,Democrat,Bernie Sanders,754,2.7
Calhoun,Democrat,Hillary Clinton,499,2.19
Iron,Republican,Donald Trump,800,2.45
Jim Wells,Democrat,Hillary Clinton,4688,2.96
Pendleton,Democrat,Bernie Sanders,546,2.71
Crook,Democrat,Bernie Sanders,1,2.34
Chatham,Democrat,Hillary Clinton,19898,2.55
Brooks,Republican,Donald Trump,1009,2.39
Arapahoe,Democrat,Bernie Sanders,6086,2.58
Catoosa,Republican,Donald Trump,4449,2.68
Kimball,Republican,Donald Trump,439,2.27
Prince George's,Democrat,Hillary Clinton,113912,2.81
Clay,Democrat,Hillary Clinton,2372,2.61
Menifee,Democrat,Bernie Sanders,323,2.58
Butts,Republican,Donald Trump,1884,2.74
Heard,Republican,Donald Trump,1068,2.68
Jasper,Democrat,Hillary Clinton,927,2.34
Brown,Republican,Donald Trump,555,2.02
Greene,Republican,Donald Trump,1555,2.5
Albemarle,Democrat,Hillary Clinton,8284,2.47
Wabash,Republican,Donald Trump,977,2.45
DeSoto,Democrat,Hillary Clinton,1508,2.58
Rockdale,Democrat,Hillary Clinton,7930,2.89
Dade,Republican,Ted Cruz,997,2.39
Garland,Republican,Donald Trump,5538,2.37
Pecos,Democrat,Hillary Clinton,816,2.89
McKinley,Democrat,Hillary Clinton,4761,4.1
Rowan,Democrat,Bernie Sanders,1363,2.49
San Bernardino,Democrat,Hillary Clinton,71246,3.33
Will,Democrat,Bernie Sanders,46305,3.02
Knox,Republican,Donald Trump,1285,2.53
Pettis,Republican,Donald Trump,3343,2.55
Floyd,Democrat,Hillary Clinton,453,2.26
Worth,Republican,Donald Trump,1890,2.74
Aurora,Democrat,Hillary Clinton,150,2.36
Itawamba,Republican,Donald Trump,1905,2.53
Avoyelles,Democrat,Hillary Clinton,1181,2.49
Conway,Democrat,Hillary Clinton,1755,2.57
Elbert,Republican,Donald Trump,1394,2.57
Gordon,Republican,Donald Trump,4339,2.88
Franklin,Republican,Donald Trump,3130,2.42
East Feliciana,Democrat,Hillary Clinton,1847,2.54
Gilmer,Republican,Donald Trump,3314,2.44
Marion,Republican,Ted Cruz,2263,2.42
Pike,Republican,Donald Trump,511,2.55
Dallas,Democrat,Hillary Clinton,8577,2.63
Cleveland,Democrat,Hillary Clinton,4880,2.53
Pemiscot,Republican,Donald Trump,1155,2.58
Dickinson,Democrat,Bernie Sanders,358,2.07
Scott,Republican,Donald Trump,1929,2.66
Ottawa,Republican,Ted Cruz,23862,2.73
Morgan,Republican,Donald Trump,10235,2.67
Taylor,Republican,Donald Trump,1203,2.55
Henry,Republican,Donald Trump,1636,2.29
Richmond,Democrat,Hillary Clinton,333,2.56
Noxubee,Democrat,Hillary Clinton,1397,2.66
Perry,Democrat,Bernie Sanders,1666,2.58
Evangeline,Democrat,Hillary Clinton,1319,2.64
Schuyler,Republican,Donald Trump,428,2.45
Sheridan,Democrat,Hillary Clinton,7,2.29
Eau Claire,Democrat,Bernie Sanders,13058,2.39
Union,Democrat,Hillary Clinton,40972,2.88
Hart,Republican,Donald Trump,1858,2.45
Okaloosa,Republican,Donald Trump,17770,2.47
Trigg,Democrat,Bernie Sanders,715,2.38
Lincoln,Republican,Donald Trump,3073,2.18
Tehama,Republican,Donald Trump,3940,2.66
Tangipahoa,Democrat,Hillary Clinton,4267,2.69
Miner,Democrat,Hillary Clinton,109,2.18
Washington,Democrat,Hillary Clinton,9110,2.53
Rabun,Republican,Donald Trump,1732,2.28
Iberville,Democrat,Hillary Clinton,3699,2.64
Atkinson,Republican,Donald Trump,619,3.0
Plumas,Republican,Donald Trump,2588,2.13
Lawrence,Democrat,Bernie Sanders,659,2.7
Frontier,Republican,Donald Trump,315,2.23
Monroe,Republican,Donald Trump,3272,2.63
Bryan,Republican,Donald Trump,2214,2.79
Huron,Republican,Donald Trump,2346,2.31
Schenectady,Democrat,Bernie Sanders,6862,2.59
Refugio,Democrat,Hillary Clinton,549,2.5
Plymouth,Republican,Donald Trump,618,2.49
Watauga,Democrat,Bernie Sanders,5811,2.2
Santa Rosa,Republican,Donald Trump,16044,2.64
Ballard,Democrat,Bernie Sanders,659,2.46
Gallatin,Democrat,Bernie Sanders,663,2.32
Ziebach,Democrat,Bernie Sanders,132,3.51
Adams,Democrat,Hillary Clinton,3013,2.54
St. John the Baptist,Democrat,Hillary Clinton,3818,2.87
Effingham,Republican,Ted Cruz,3448,2.5
Jones,Republican,Donald Trump,6388,2.69
Leflore,Democrat,Hillary Clinton,2094,2.77
Madison,Republican,Donald Trump,12487,2.46
San Francisco,Democrat,Hillary Clinton,85070,2.31
Jerome,Republican,Ted Cruz,1164,2.9
Monroe,Democrat,Bernie Sanders,15166,2.32
Anne Arundel,Democrat,Hillary Clinton,35659,2.65
Santa Barbara,Democrat,Hillary Clinton,23543,2.89
DeKalb,Republican,Donald Trump,4203,2.61
Clay,Republican,Donald Trump,702,2.41
La Paz,Republican,Donald Trump,940,1.97
Osceola,Republican,Ted Cruz,113,2.33
Holt,Republican,Donald Trump,504,2.1
Glades,Republican,Donald Trump,632,3.05
Lexington,Democrat,Hillary Clinton,402,2.05
Pierce,Republican,Donald Trump,617,2.42
Red River,Democrat,Hillary Clinton,530,2.66
McDowell,Democrat,Bernie Sanders,1453,2.54
Nassau,Democrat,Hillary Clinton,70947,2.99
Ouachita,Democrat,Hillary Clinton,8995,2.57
Muhlenberg,Democrat,Bernie Sanders,1632,2.51
Muscogee,Democrat,Hillary Clinton,12801,2.53
Corson,Democrat,Bernie Sanders,148,3.44
Person,Democrat,Hillary Clinton,2954,2.54
Pueblo,Democrat,Hillary Clinton,1260,2.49
Candler,Republican,Donald Trump,897,2.78
Volusia,Republican,Donald Trump,34167,2.47
Bolivar,Democrat,Hillary Clinton,3029,2.64
Granville,Democrat,Hillary Clinton,4693,2.72
Nodaway,Republican,Donald Trump,1268,2.35
Bates,Republican,Donald Trump,1306,2.42
Saline,Republican,Ted Cruz,7507,2.62
Escambia,Republican,Donald Trump,2817,2.59
Wayne,Democrat,Bernie Sanders,2898,2.52
Lincoln,Democrat,Bernie Sanders,1510,2.57
Alger,Democrat,Bernie Sanders,622,2.34
Edgar,Republican,Donald Trump,1562,2.28
Pontotoc,Republican,Ted Cruz,2498,3.01
Presidio,Democrat,Hillary Clinton,776,2.88
Cass,Republican,Donald Trump,3941,2.54
Marion,Democrat,Bernie Sanders,5324,2.45
Lancaster,Republican,Donald Trump,13251,2.4
Pike,Republican,Donald Trump,1603,2.35
Cotton,Democrat,Bernie Sanders,388,2.58
Valencia,Democrat,Hillary Clinton,3123,2.78
Richmond,Democrat,Hillary Clinton,16269,2.66
Fremont,Democrat,Bernie Sanders,10,2.58
Jackson,Democrat,Hillary Clinton,15,2.08
Leake,Democrat,Hillary Clinton,1614,2.77
Edwards,Republican,Donald Trump,867,2.43
Logan,Democrat,Bernie Sanders,3201,2.43
Letcher,Democrat,Bernie Sanders,1788,2.56
Madison,Republican,Ted Cruz,4079,3.53
Lincoln,Democrat,Bernie Sanders,3,2.88
Clarendon,Democrat,Hillary Clinton,3564,2.6
Prowers,Democrat,Hillary Clinton,40,2.45
Blaine,Republican,Donald Trump,465,2.86
Perry,Republican,Donald Trump,676,2.69
Wetzel,Democrat,Bernie Sanders,1744,2.36
Calvert,Republican,Donald Trump,6360,2.87
McHenry,Republican,Donald Trump,16514,2.82
Modoc,Republican,Donald Trump,1019,2.23
Montmorency,Republican,Donald Trump,1046,2.29
Monona,Republican,Ted Cruz,185,2.26
Clark,Republican,Donald Trump,10635,2.58
Lucas,Republican,Ted Cruz,213,2.32
Marion,Democrat,Hillary Clinton,1162,2.52
Osceola,Republican,Donald Trump,1812,2.55
Gasconade,Republican,Donald Trump,1429,2.4
Rockcastle,Republican,Donald Trump,743,2.52
Miami,Republican,Donald Trump,3286,2.64
Christian,Democrat,Hillary Clinton,2437,2.65
Fayette,Democrat,Hillary Clinton,9184,2.42
LaSalle,Republican,Donald Trump,6950,2.5
Columbus,Democrat,Hillary Clinton,3628,2.52
East Carroll,Democrat,Hillary Clinton,508,2.62
Green,Republican,Donald Trump,655,2.47
Madison,Republican,Donald Trump,2460,2.86
Searcy,Republican,Donald Trump,939,2.43
Adams,Republican,Donald Trump,2798,2.37
Jefferson,Republican,Ted Cruz,3080,3.26
Carroll,Republican,Donald Trump,1268,2.24
Mecklenburg,Democrat,Hillary Clinton,1588,2.42
Worth,Democrat,Bernie Sanders,218,2.33
Dillon,Democrat,Hillary Clinton,1615,2.66
Geneva,Republican,Donald Trump,3106,2.43
Coahoma,Democrat,Hillary Clinton,2301,2.66
Copiah,Democrat,Hillary Clinton,3373,2.83
Sweetwater,Democrat,Bernie Sanders,12,2.62
St. Helena,Democrat,Hillary Clinton,1407,2.65
Weston,Democrat,Hillary Clinton,1,2.29
Jersey,Republican,Donald Trump,1902,2.5
Humboldt,Republican,Donald Trump,204,2.28
Clay,Republican,Donald Trump,1920,2.38
Buncombe,Democrat,Bernie Sanders,30913,2.33
Powell,Democrat,Bernie Sanders,744,2.63
Hot Spring,Republican,Donald Trump,1597,2.58
Ralls,Republican,Donald Trump,961,2.5
Bladen,Democrat,Hillary Clinton,3442,2.4
DeSoto,Republican,Ted Cruz,12300,2.82
Columbia,Democrat,Bernie Sanders,4221,2.57
Saginaw,Democrat,Hillary Clinton,12348,2.5
Wayne,Republican,Ted Cruz,171,2.42
Forsyth,Republican,Donald Trump,15698,3.14
Lenoir,Democrat,Hillary Clinton,4731,2.46
Jackson,Democrat,Hillary Clinton,2798,2.55
Gilchrist,Republican,Donald Trump,1860,2.51
Mobile,Democrat,Hillary Clinton,28927,2.6
Brown,Republican,Donald Trump,502,2.47
Suffolk,Democrat,Hillary Clinton,7533,2.75
Edmonson,Republican,Donald Trump,531,2.47
DeKalb,Republican,Donald Trump,800,2.48
Nassau,Republican,Donald Trump,9192,2.62
Dane,Democrat,Bernie Sanders,102585,2.33
Baca,Democrat,Hillary Clinton,15,2.2
Livingston,Democrat,Bernie Sanders,610,2.62
Camden,Republican,Donald Trump,5467,2.45
Crittenden,Democrat,Bernie Sanders,344,2.41
Owen,Republican,Donald Trump,2679,2.47
Lee,Republican,Donald Trump,2153,2.45
Levy,Republican,Donald Trump,3745,2.54
Liberty,Democrat,Bernie Sanders,392,2.91
Mayes,Democrat,Bernie Sanders,2144,2.55
Lawrence,Democrat,Hillary Clinton,933,2.52
Oceana,Republican,Ted Cruz,1698,2.68
Montgomery,Democrat,Bernie Sanders,5090,2.44
Jefferson,Democrat,Hillary Clinton,1550,2.84
Dearborn,Republican,Donald Trump,6617,2.66
Carroll,Republican,Donald Trump,1133,2.72
Harlan,Republican,Donald Trump,436,2.15
Uvalde,Democrat,Hillary Clinton,1740,3.01
Brevard,Republican,Donald Trump,45483,2.44
Hamilton,Democrat,Hillary Clinton,353,2.39
El Dorado,Republican,Donald Trump,17651,2.64
Pontotoc,Democrat,Bernie Sanders,2392,2.47
Lake,Republican,Donald Trump,803,2.72
Chatham,Democrat,Hillary Clinton,7406,2.46
Summit,Democrat,Bernie Sanders,419,2.48
Holmes,Democrat,Hillary Clinton,3301,2.81
Iron,Republican,Donald Trump,868,2.13
Saline,Republican,Donald Trump,1417,2.48
Fannin,Republican,Donald Trump,3001,2.36
Little River,Democrat,Hillary Clinton,721,2.41
Lauderdale,Republican,Donald Trump,4740,2.56
Natrona,Democrat,Hillary Clinton,20,2.44
Treasure,Republican,Donald Trump,143,2.14
O'Brien,Republican,Ted Cruz,347,2.27
Coles,Republican,Donald Trump,3156,2.33
Stone,Republican,Donald Trump,3928,2.37
Pittsburg,Democrat,Bernie Sanders,3026,2.32
Alpine,Democrat,Bernie Sanders,129,2.9
Webster,Democrat,Bernie Sanders,1169,2.58
Izard,Republican,Donald Trump,873,2.26
Banner,Republican,Donald Trump,108,2.47
Clare,Republican,Donald Trump,1996,2.29
Newberry,Democrat,Hillary Clinton,2118,2.55
Wibaux,Republican,Donald Trump,231,2.22
Ford,Republican,Ted Cruz,1281,2.4
Gulf,Republican,Donald Trump,1038,2.49
LaSalle,Republican,Donald Trump,577,2.45
Allen,Republican,Ted Cruz,29963,2.55
Gloucester,Democrat,Hillary Clinton,17954,2.73
McCurtain,Democrat,Bernie Sanders,1314,2.49
Jackson,Democrat,Bernie Sanders,3021,2.36
Somerset,Republican,Donald Trump,1686,2.29
Otsego,Democrat,Bernie Sanders,2623,2.36
Weston,Democrat,Bernie Sanders,1,2.29
Union,Republican,Donald Trump,2169,2.62
Bourbon,Democrat,Hillary Clinton,1109,2.51
Woodford,Republican,Ted Cruz,5091,2.63
Brooks,Democrat,Hillary Clinton,1603,2.89
Hopewell,Democrat,Hillary Clinton,1177,2.53
Fresno,Republican,Donald Trump,37672,3.18
Napa,Democrat,Hillary Clinton,7370,2.69
Bossier,Republican,Ted Cruz,4988,2.57
Daviess,Republican,Donald Trump,3894,2.81
Brookings,Democrat,Hillary Clinton,955,2.38
McIntosh,Democrat,Bernie Sanders,1261,2.48
Fairfax City,Democrat,Hillary Clinton,1840,2.65
Barry,Republican,Donald Trump,3478,2.59
Wexford,Republican,Donald Trump,2578,2.59
Kent,Democrat,Hillary Clinton,1460,2.46
McCreary,Republican,Donald Trump,725,2.57
Woodford,Democrat,Bernie Sanders,1918,2.55
Union,Republican,Donald Trump,719,2.79
Kemper,Democrat,Hillary Clinton,1008,2.64
Otero,Democrat,Bernie Sanders,94,2.45
Dawson,Republican,Donald Trump,1950,2.73
Metcalfe,Democrat,Bernie Sanders,582,2.53
Lewis,Republican,Donald Trump,522,2.74
Morgan,Democrat,Bernie Sanders,87,2.65
La Crosse,Democrat,Bernie Sanders,15139,2.4
McCone,Republican,Donald Trump,410,2.34
Boulder,Democrat,Bernie Sanders,11142,2.42
Yolo,Democrat,Hillary Clinton,12567,2.76
Brewster,Democrat,Bernie Sanders,771,2.18
Grand Traverse,Democrat,Bernie Sanders,8091,2.45
Otoe,Republican,Donald Trump,1255,2.4
Dallas,Democrat,Hillary Clinton,113574,2.77
Cherokee,Republican,Donald Trump,18460,2.85
Butte,Republican,Donald Trump,15695,2.53
Dubois,Republican,Donald Trump,4692,2.59
Durham,Democrat,Hillary Clinton,35845,2.36
Winnebago,Democrat,Bernie Sanders,17818,2.33
Sabine,Republican,Ted Cruz,728,2.6
Boone,Republican,Donald Trump,2577,2.43
Montgomery,Republican,Donald Trump,4412,2.53
Kosciusko,Republican,Donald Trump,8748,2.56
Lyon,Republican,Ted Cruz,432,2.6
Abbeville,Democrat,Hillary Clinton,1501,2.49
Park,Democrat,Bernie Sanders,231,2.27
Essex,Democrat,Bernie Sanders,1932,2.28
Branch,Republican,Donald Trump,2455,2.64
Pocahontas,Democrat,Hillary Clinton,198,2.19
Kleberg,Democrat,Hillary Clinton,1738,2.68
Pulaski,Republican,Donald Trump,2821,2.39
Murray,Republican,Donald Trump,3084,2.79
Petroleum,Republican,Donald Trump,167,2.31
Delaware,Republican,Donald Trump,8793,2.36
Saline,Republican,Donald Trump,2102,2.38
Mingo,Democrat,Bernie Sanders,2425,2.43
Robertson,Democrat,Bernie Sanders,177,2.5
Trumbull,Democrat,Hillary Clinton,17903,2.37
Pierce,Republican,Donald Trump,1345,2.67
Santa Clara,Democrat,Hillary Clinton,109963,2.92
Osceola,Democrat,Hillary Clinton,16512,3.07
Wheatland,Republican,Donald Trump,380,2.5
Polk,Republican,Ted Cruz,3430,2.5
Fredericksburg,Democrat,Hillary Clinton,1396,2.38
Dodge,Republican,Donald Trump,1360,2.36
Cumberland,Republican,Ted Cruz,1081,2.59
Lee,Republican,Donald Trump,3057,2.79
Logan,Republican,Ted Cruz,2361,2.13
Adair,Democrat,Bernie Sanders,971,2.76
Gentry,Republican,Donald Trump,435,2.33
Burlington,Democrat,Hillary Clinton,32712,2.65
Walton,Republican,Donald Trump,6650,2.41
Maverick,Democrat,Hillary Clinton,4342,3.45
Hancock,Republican,Donald Trump,9520,2.68
Lewis,Republican,Donald Trump,286,2.28
Lamar,Republican,Donald Trump,1810,2.32
Blackford,Republican,Donald Trump,1019,2.41
Linn,Republican,Donald Trump,955,2.56
Madison,Republican,Ted Cruz,452,2.52
Bienville,Democrat,Hillary Clinton,1056,2.45
Barren,Democrat,Bernie Sanders,2653,2.51
Robeson,Democrat,Hillary Clinton,8457,2.9
Harris,Democrat,Hillary Clinton,156729,2.89
Franklin,Democrat,Bernie Sanders,2338,2.35
Jefferson,Republican,Donald Trump,3281,2.4
Greenup,Democrat,Bernie Sanders,1655,2.51
West Carroll,Republican,Ted Cruz,342,2.61
Rio Arriba,Democrat,Hillary Clinton,4915,2.68
Carbon,Republican,Donald Trump,1507,2.32
Franklin,Republican,Ted Cruz,1187,3.07
Arkansas,Republican,Donald Trump,1073,2.36
Montgomery,Democrat,Bernie Sanders,192,2.28
Nemaha,Republican,Donald Trump,472,2.23
Berrien,Republican,Donald Trump,7817,2.51
Wabash,Republican,Donald Trump,3932,2.41
Glascock,Republican,Donald Trump,405,2.53
Stewart,Democrat,Hillary Clinton,460,2.74
Flathead,Republican,Donald Trump,10642,2.45
Tyrrell,Democrat,Hillary Clinton,266,2.48
Halifax,Democrat,Hillary Clinton,6224,2.45
Monroe,Republican,Donald Trump,8802,2.55
Nelson,Democrat,Hillary Clinton,991,2.31
Rio Grande,Democrat,Bernie Sanders,59,2.46
Brooke,Democrat,Bernie Sanders,1966,2.3
Phillips,Republican,Donald Trump,1097,2.28
Gilmer,Democrat,Bernie Sanders,643,2.49
Dewey,Democrat,Bernie Sanders,342,3.17
Hinsdale,Democrat,Bernie Sanders,10,2.06
Kane,Democrat,Bernie Sanders,31085,3.01
Kearney,Republican,Donald Trump,614,2.44
Kenosha,Democrat,Bernie Sanders,14612,2.6
Gadsden,Democrat,Hillary Clinton,7446,2.62
Webb,Democrat,Hillary Clinton,18559,3.74
Georgetown,Democrat,Hillary Clinton,4931,2.58
Pike,Republican,Donald Trump,2493,2.4
Wright,Democrat,Hillary Clinton,273,2.4
Marion,Democrat,Hillary Clinton,3359,2.69
Dundy,Republican,Donald Trump,219,2.18
Carroll,Republican,Donald Trump,1004,2.52
Bertie,Democrat,Hillary Clinton,2065,2.58
Carroll,Democrat,Hillary Clinton,0,2.47
Andrew,Republican,Donald Trump,1457,2.55
Ottawa,Democrat,Bernie Sanders,1238,2.55
Washington,Democrat,Hillary Clinton,601,2.54
Barton,Republican,Ted Cruz,1560,2.42
Tunica,Democrat,Hillary Clinton,904,2.53
Richland,Democrat,Hillary Clinton,696,2.59
Logan,Republican,Donald Trump,1208,2.63
Teton,Democrat,Bernie Sanders,9,2.76
Carroll,Democrat,Bernie Sanders,573,2.46
Lee,Democrat,Hillary Clinton,3224,2.72
Cass,Democrat,Hillary Clinton,300,2.21
Cassia,Republican,Ted Cruz,2095,2.96
Santa Fe,Democrat,Hillary Clinton,16087,2.33
Jefferson,Democrat,Bernie Sanders,8281,2.42
Jackson,Republican,Donald Trump,8113,2.52
Faulkner,Republican,Ted Cruz,6228,2.62
Gooding,Republican,Ted Cruz,863,2.73
Union,Democrat,Hillary Clinton,2548,2.45
Lamar,Republican,Donald Trump,5197,2.6
Claiborne,Democrat,Hillary Clinton,768,2.67
Broome,Democrat,Bernie Sanders,9176,2.37
San Miguel,Democrat,Hillary Clinton,3418,2.38
Calhoun,Democrat,Bernie Sanders,803,2.41
Love,Democrat,Bernie Sanders,502,2.78
Furnas,Republican,Donald Trump,546,2.18
Mississippi,Republican,Donald Trump,970,2.5
Sevier,Republican,Donald Trump,593,2.95
Randolph,Republican,Donald Trump,2939,2.46
Montgomery,Democrat,Bernie Sanders,1322,2.59
Guilford,Democrat,Hillary Clinton,37880,2.44
Coconino,Democrat,Bernie Sanders,6941,2.74
Loup,Republican,Donald Trump,101,2.42
Clarke,Democrat,Hillary Clinton,7089,2.61
Elbert,Democrat,Bernie Sanders,144,2.81
Barry,Republican,Ted Cruz,3189,2.62
Livingston,Republican,Donald Trump,1191,2.42
Crittenden,Democrat,Hillary Clinton,3379,2.72
Gem,Republican,Ted Cruz,1391,2.62
Jones,Republican,Donald Trump,2318,2.73
Pulaski,Republican,Donald Trump,436,2.45
Alpena,Republican,Donald Trump,1885,2.24
Hudspeth,Democrat,Hillary Clinton,147,2.92
Martin,Republican,Donald Trump,1398,2.45
McCracken,Democrat,Bernie Sanders,3541,2.38
Johnson,Democrat,Bernie Sanders,1,2.31
Columbia,Republican,Donald Trump,9177,2.9
Orange,Democrat,Hillary Clinton,66654,2.76
Dorchester,Republican,Donald Trump,2744,2.39
Taylor,Republican,Donald Trump,550,2.24
Sumter,Democrat,Hillary Clinton,9816,2.66
Emanuel,Republican,Donald Trump,1489,2.71
White,Republican,Ted Cruz,4395,2.5
Early,Republican,Donald Trump,760,2.61
St. Lucie,Republican,Donald Trump,18350,2.62
Owyhee,Republican,Ted Cruz,717,2.9
Seminole,Republican,Donald Trump,25763,2.87
Albany,Democrat,Bernie Sanders,20422,2.35
Menard,Republican,Ted Cruz,1064,2.47
Boone,Democrat,Bernie Sanders,715,2.41
Wells,Republican,Ted Cruz,3826,2.49
Acadia,Democrat,Hillary Clinton,1862,2.7
Fulton,Democrat,Bernie Sanders,2537,2.37
Effingham,Republican,Donald Trump,3648,2.96
Franklin,Republican,Donald Trump,761,2.39
