"county","party","candidate","votes","poverty_level"
Coffee,Republican,Donald Trump,2469,24.3
Grundy,Republican,Ted Cruz,272,7.0
Sedgwick,Democrat,Hillary Clinton,13,18.9
Grenada,Republican,Donald Trump,1727,21.9
Nemaha,Republican,Donald Trump,472,10.4
Lee,Republican,Donald Trump,273,37.2
Chickasaw,Democrat,Hillary Clinton,1398,25.3
Pierce,Democrat,Bernie Sanders,3199,12.4
Page,Republican,Ted Cruz,249,13.9
Richland,Democrat,Hillary Clinton,39243,17.2
Albany,Democrat,Bernie Sanders,25,26.0
Los Alamos,Democrat,Hillary Clinton,1424,4.4
Bingham,Republican,Ted Cruz,3471,15.2
Newberry,Democrat,Hillary Clinton,2118,17.2
Mecklenburg,Democrat,Hillary Clinton,1588,19.6
Hoke,Democrat,Hillary Clinton,3528,22.9
Coconino,Democrat,Bernie Sanders,6941,23.0
Dallas,Republican,Donald Trump,1672,22.8
Washington,Democrat,Hillary Clinton,601,14.2
Henry,Democrat,Hillary Clinton,15639,11.2
Jackson,Republican,Donald Trump,5463,16.0
Lawrence,Democrat,Hillary Clinton,933,25.4
Alcorn,Republican,Donald Trump,2901,20.8
Fergus,Republican,Donald Trump,1975,13.8
Henry,Democrat,Bernie Sanders,958,17.1
Petroleum,Republican,Donald Trump,167,11.1
Muhlenberg,Democrat,Bernie Sanders,1632,20.4
Weld,Democrat,Bernie Sanders,1647,14.7
Glynn,Republican,Donald Trump,5516,19.2
Trumbull,Democrat,Hillary Clinton,17903,17.4
Onondaga,Democrat,Hillary Clinton,20397,14.8
Silver Bow,Democrat,Hillary Clinton,4089,19.1
Morgan,Republican,Donald Trump,2378,14.4
Middlesex,Democrat,Hillary Clinton,47978,8.5
Perry,Democrat,Hillary Clinton,2575,25.6
Cherry,Republican,Donald Trump,1220,13.0
Baker,Democrat,Hillary Clinton,303,31.8
Las Animas,Democrat,Bernie Sanders,106,17.8
Henderson,Democrat,Hillary Clinton,2887,17.7
Shelby,Democrat,Bernie Sanders,232,10.8
Huerfano,Democrat,Bernie Sanders,150,20.6
Fillmore,Republican,Donald Trump,574,8.8
Marshall,Democrat,Hillary Clinton,287,18.6
Jefferson,Democrat,Hillary Clinton,64090,16.7
Massac,Republican,Donald Trump,1341,16.3
Douglas,Republican,Donald Trump,1657,22.6
Russell,Democrat,Hillary Clinton,4381,22.0
Madison,Republican,Donald Trump,2460,17.9
Clayton,Democrat,Hillary Clinton,25130,24.0
Kalkaska,Republican,Donald Trump,1724,16.3
Monroe,Democrat,Hillary Clinton,37309,15.0
Sierra,Republican,Donald Trump,497,19.4
Comanche,Democrat,Bernie Sanders,3804,17.3
Monona,Republican,Ted Cruz,185,9.0
Johnson,Republican,Donald Trump,684,22.8
Lackawanna,Democrat,Hillary Clinton,22971,13.6
Arthur,Republican,Donald Trump,68,6.9
Ozark,Republican,Donald Trump,1099,20.0
Telfair,Republican,Donald Trump,626,30.5
Dubuque,Democrat,Hillary Clinton,2504,10.9
Tift,Republican,Donald Trump,2697,27.9
Houghton,Democrat,Bernie Sanders,2039,23.0
Vermilion,Republican,Donald Trump,1460,17.1
Essex,Democrat,Hillary Clinton,75071,16.6
Lamar,Republican,Donald Trump,1810,22.3
Pike,Republican,Donald Trump,511,24.8
Lexington,Democrat,Hillary Clinton,402,25.2
St. Louis City,Democrat,Hillary Clinton,34458,27.4
Nance,Republican,Donald Trump,310,12.6
Clare,Republican,Donald Trump,1996,26.5
Pierce,Republican,Donald Trump,617,5.6
Adams,Republican,Donald Trump,354,16.6
King and Queen,Democrat,Hillary Clinton,477,9.2
Willacy,Democrat,Hillary Clinton,2072,40.0
Duval,Democrat,Hillary Clinton,58632,16.9
Alpena,Republican,Donald Trump,1885,17.3
Talladega,Republican,Donald Trump,6304,22.9
Oglala Lakota,Democrat,Bernie Sanders,574,53.2
Winston,Democrat,Hillary Clinton,1442,29.8
Meriwether,Democrat,Hillary Clinton,1463,21.1
Brown,Republican,Donald Trump,2202,14.6
Winnebago,Democrat,Bernie Sanders,17818,12.3
Payette,Republican,Ted Cruz,1364,20.0
Ware,Republican,Donald Trump,1998,24.3
Tallapoosa,Republican,Donald Trump,4658,19.8
Marion,Democrat,Hillary Clinton,1162,17.0
Harrison,Democrat,Bernie Sanders,1059,23.1
Marengo,Democrat,Hillary Clinton,3590,24.0
Nevada,Democrat,Hillary Clinton,647,26.5
Collier,Republican,Donald Trump,30071,14.1
Cross,Republican,Donald Trump,972,17.4
Caddo,Democrat,Hillary Clinton,16666,19.5
Wilkinson,Democrat,Hillary Clinton,1269,27.8
Johnson,Republican,Donald Trump,1075,24.3
Lauderdale,Republican,Donald Trump,7502,17.2
McIntosh,Democrat,Bernie Sanders,1261,20.7
Nelson,Democrat,Hillary Clinton,2395,18.2
Yolo,Democrat,Hillary Clinton,12567,19.1
Carter,Democrat,Bernie Sanders,2113,16.3
San Mateo,Democrat,Hillary Clinton,47358,7.6
Mariposa,Republican,Donald Trump,1940,16.1
Buffalo,Democrat,Hillary Clinton,110,35.6
Texas,Republican,Donald Trump,2659,21.4
Pointe Coupee,Democrat,Hillary Clinton,1680,17.7
Isabella,Democrat,Bernie Sanders,4024,31.5
Greer,Democrat,Bernie Sanders,332,9.9
Terrell,Democrat,Hillary Clinton,67,10.0
Ripley,Republican,Donald Trump,1096,24.6
Cuming,Republican,Donald Trump,783,11.6
Webb,Democrat,Hillary Clinton,18559,31.4
Buffalo,Republican,Donald Trump,3748,13.6
Cullman,Republican,Donald Trump,10618,18.8
Pickens,Republican,Donald Trump,3360,11.9
Ascension,Democrat,Hillary Clinton,4221,12.3
Amador,Republican,Donald Trump,3605,12.6
Charlevoix,Republican,Donald Trump,1886,13.3
Whiteside,Democrat,Bernie Sanders,3102,12.0
Adair,Republican,Donald Trump,1512,19.1
Wilcox,Republican,Donald Trump,602,27.8
Ohio,Republican,Donald Trump,786,8.3
Wabash,Republican,Donald Trump,977,12.7
West Carroll,Republican,Ted Cruz,342,25.0
Alger,Democrat,Bernie Sanders,622,14.8
Allamakee,Democrat,Hillary Clinton,304,12.6
Gogebic,Democrat,Bernie Sanders,790,20.3
Oneida,Republican,Ted Cruz,473,16.1
Yazoo,Democrat,Hillary Clinton,2203,35.5
Wayne,Republican,Donald Trump,805,24.3
Douglas,Republican,Ted Cruz,1764,10.3
Taliaferro,Democrat,Hillary Clinton,236,30.0
Stoddard,Republican,Donald Trump,3024,15.0
Taos,Democrat,Bernie Sanders,4325,25.3
Lake,Republican,Donald Trump,2927,22.4
Park,Democrat,Bernie Sanders,231,9.1
Queens,Democrat,Hillary Clinton,122386,15.0
White,Republican,Donald Trump,1424,15.6
Appanoose,Republican,Donald Trump,292,15.2
Muskogee,Democrat,Bernie Sanders,3515,22.9
Orangeburg,Democrat,Hillary Clinton,11819,23.7
Jackson,Democrat,Hillary Clinton,2798,19.9
Clinton,Republican,Donald Trump,2522,8.9
Norfolk,Democrat,Hillary Clinton,15747,19.2
Grundy,Republican,Donald Trump,3625,9.0
Yankton,Democrat,Hillary Clinton,706,13.4
Edgefield,Democrat,Hillary Clinton,1474,19.9
Moultrie,Republican,Ted Cruz,1321,12.8
Marion,Republican,Donald Trump,31370,18.1
Alpine,Democrat,Bernie Sanders,129,16.6
La Salle,Democrat,Hillary Clinton,557,21.7
Etowah,Republican,Donald Trump,8657,19.0
McCracken,Democrat,Bernie Sanders,3541,16.2
Brooklyn,Democrat,Hillary Clinton,174236,23.2
Conecuh,Democrat,Hillary Clinton,2031,32.7
Piatt,Republican,Ted Cruz,1855,6.2
Boone,Democrat,Hillary Clinton,2932,9.0
Gage,Republican,Donald Trump,1407,11.7
Lee,Democrat,Hillary Clinton,956,31.5
Martin,Republican,Donald Trump,1398,14.6
Hancock,Democrat,Bernie Sanders,573,14.2
Sanilac,Republican,Donald Trump,3279,16.8
McDowell,Democrat,Bernie Sanders,1453,36.3
Breathitt,Democrat,Bernie Sanders,1716,32.5
Monroe,Democrat,Hillary Clinton,2438,28.6
Marion,Republican,Donald Trump,1581,18.9
Audrain,Republican,Ted Cruz,1642,17.0
Bryan,Republican,Donald Trump,2214,11.7
Wayne,Democrat,Bernie Sanders,2898,20.0
Kings,Republican,Donald Trump,7046,21.0
Pinal,Republican,Donald Trump,12182,15.6
Magoffin,Democrat,Bernie Sanders,626,28.6
Carter,Republican,Donald Trump,349,13.7
Barry,Republican,Donald Trump,3478,11.7
Rensselaer,Democrat,Bernie Sanders,6649,13.2
Wilson,Democrat,Hillary Clinton,6408,23.2
Elbert,Democrat,Bernie Sanders,144,6.5
Crittenden,Democrat,Hillary Clinton,3379,26.3
White,Republican,Donald Trump,2715,20.1
Montgomery,Republican,Donald Trump,712,24.5
Clark,Democrat,Bernie Sanders,1888,15.4
Edgar,Republican,Donald Trump,1562,18.4
Barton,Republican,Ted Cruz,1560,18.7
Paulding,Republican,Donald Trump,10002,11.4
Gwinnett,Democrat,Hillary Clinton,37465,13.9
Rockdale,Democrat,Hillary Clinton,7930,14.7
Marin,Democrat,Hillary Clinton,27238,7.7
Custer,Republican,Donald Trump,1363,13.3
Marshall,Democrat,Bernie Sanders,960,12.1
Pike,Democrat,Bernie Sanders,4848,23.4
Antelope,Republican,Donald Trump,772,11.0
Logan,Republican,Donald Trump,166,12.1
Ogle,Republican,Ted Cruz,4307,11.3
Keweenaw,Democrat,Bernie Sanders,188,15.8
Scotland,Democrat,Hillary Clinton,2671,32.3
Simpson,Democrat,Hillary Clinton,708,20.3
Lafayette,Republican,Donald Trump,2518,9.5
St. Johns,Republican,Donald Trump,24205,9.6
Randolph,Republican,Donald Trump,735,21.8
Yuma,Republican,Donald Trump,4390,20.2
Furnas,Republican,Donald Trump,546,16.2
Los Angeles,Democrat,Hillary Clinton,590502,17.8
La Plata,Democrat,Bernie Sanders,1466,11.4
Lumpkin,Republican,Donald Trump,2453,18.1
Dixon,Republican,Donald Trump,513,11.2
Tate,Republican,Ted Cruz,2034,18.5
Eagle,Democrat,Bernie Sanders,623,10.9
Dallas,Democrat,Hillary Clinton,693,19.7
Metcalfe,Democrat,Bernie Sanders,582,20.0
Christian,Democrat,Hillary Clinton,2437,20.5
Summit,Democrat,Bernie Sanders,1645,8.5
LaSalle,Republican,Donald Trump,6950,12.2
Fannin,Republican,Donald Trump,3001,23.0
Essex,Democrat,Hillary Clinton,642,11.1
Broomfield,Democrat,Bernie Sanders,1010,7.1
Williamsburg,Democrat,Bernie Sanders,1197,19.5
Carroll,Republican,John Kasich,0,18.8
Emmet,Democrat,Bernie Sanders,2589,10.9
Val Verde,Democrat,Hillary Clinton,1777,22.1
Edwards,Republican,Donald Trump,867,11.4
Brooke,Democrat,Bernie Sanders,1966,13.1
Roscommon,Republican,Donald Trump,2257,22.2
Ottawa,Republican,Ted Cruz,23862,11.2
Ripley,Republican,Donald Trump,3694,9.4
Macon,Republican,Donald Trump,6655,17.6
Mason,Democrat,Bernie Sanders,775,19.3
Miner,Democrat,Hillary Clinton,109,9.5
Wasco,Democrat,Bernie Sanders,1795,18.2
Tuscaloosa,Democrat,Hillary Clinton,12136,18.9
Clarke,Democrat,Hillary Clinton,7089,36.7
Cortland,Democrat,Bernie Sanders,1878,14.7
Marion,Democrat,Hillary Clinton,3359,27.4
Franklin,Republican,Donald Trump,3130,19.1
Charlottesville,Democrat,Bernie Sanders,4474,27.5
Audubon,Democrat,Hillary Clinton,187,9.5
Clear Creek,Democrat,Bernie Sanders,199,10.2
Franklin,Republican,Donald Trump,1229,20.5
Cass,Democrat,Hillary Clinton,300,11.4
Morrill,Republican,Donald Trump,695,13.8
Forsyth,Democrat,Hillary Clinton,24446,18.6
Suffolk,Democrat,Hillary Clinton,7533,11.4
Boyd,Republican,Donald Trump,327,10.5
Amite,Democrat,Hillary Clinton,1212,25.7
Madison,Republican,Donald Trump,12487,17.3
Pottawatomie,Democrat,Bernie Sanders,3400,18.6
Greenup,Democrat,Bernie Sanders,1655,17.9
Hendricks,Republican,Donald Trump,18555,5.0
Honolulu,Democrat,Bernie Sanders,11458,9.8
Morgan,Democrat,Bernie Sanders,87,13.3
Henry,Republican,Ted Cruz,379,17.9
Leflore,Democrat,Hillary Clinton,2094,40.4
Lincoln,Democrat,Hillary Clinton,1692,30.4
Jefferson,Republican,Ted Cruz,3080,13.1
Summers,Democrat,Bernie Sanders,1060,19.0
Chouteau,Republican,Donald Trump,865,21.7
Bonneville,Republican,Ted Cruz,7794,11.4
Carroll,Republican,Ted Cruz,0,18.8
St. Clair,Democrat,Hillary Clinton,20987,17.6
Monterey,Democrat,Hillary Clinton,17126,17.0
Centre,Democrat,Bernie Sanders,10269,20.5
Chickasaw,Democrat,Hillary Clinton,360,10.3
Franklin,Democrat,Bernie Sanders,5398,16.6
Atchison,Republican,Donald Trump,487,11.6
Bay,Democrat,Bernie Sanders,6363,14.7
Tipton,Republican,Donald Trump,2269,9.4
Sanders,Republican,Donald Trump,1992,22.0
Clinton,Republican,Donald Trump,3252,13.9
Tazewell,Republican,Ted Cruz,12085,9.1
Prairie,Republican,Donald Trump,269,21.5
Screven,Republican,Donald Trump,801,27.0
Lucas,Republican,Ted Cruz,213,17.0
Indian River,Republican,Donald Trump,13678,15.1
Platte,Republican,Donald Trump,2902,10.7
Miller,Republican,Donald Trump,2482,20.9
Claiborne,Democrat,Hillary Clinton,1411,33.1
Rowan,Democrat,Bernie Sanders,1363,28.6
La Paz,Republican,Donald Trump,940,19.4
Queen Anne's,Republican,Donald Trump,5195,8.1
Grant,Republican,Donald Trump,722,17.3
Portsmouth,Democrat,Hillary Clinton,9464,18.4
Vance,Democrat,Hillary Clinton,4561,28.0
Issaquena,Democrat,Hillary Clinton,175,32.5
Floyd,Democrat,Bernie Sanders,4010,28.9
Kankakee,Republican,Donald Trump,6403,16.4
Jones,Democrat,Hillary Clinton,910,16.7
West Baton Rouge,Democrat,Hillary Clinton,2178,14.6
Osceola,Democrat,Hillary Clinton,16512,17.9
Marshall,Democrat,Bernie Sanders,2308,11.6
Guadalupe,Democrat,Hillary Clinton,399,17.5
Granite,Republican,Donald Trump,487,15.1
Crockett,Democrat,Hillary Clinton,266,16.7
Johnson,Democrat,Hillary Clinton,1,7.5
Chaffee,Democrat,Bernie Sanders,404,8.0
Columbia,Republican,Donald Trump,4019,19.8
Lafourche,Republican,Donald Trump,2725,14.1
Carroll,Republican,Donald Trump,1133,24.4
Pima,Democrat,Hillary Clinton,56317,19.2
Imperial,Democrat,Hillary Clinton,5743,23.3
Alcona,Republican,Donald Trump,1111,15.1
McIntosh,Republican,Donald Trump,1078,14.9
Bourbon,Democrat,Hillary Clinton,1109,17.2
Blaine,Republican,Donald Trump,465,28.8
Red River,Democrat,Hillary Clinton,530,21.8
Rio Arriba,Democrat,Hillary Clinton,4915,21.2
Wakulla,Republican,Donald Trump,1664,14.4
St. Mary,Democrat,Hillary Clinton,1995,21.0
Knox,Democrat,Bernie Sanders,3168,16.7
Harrison,Republican,Donald Trump,12555,19.9
Polk,Republican,Donald Trump,3360,23.4
Owyhee,Republican,Ted Cruz,717,24.2
Grant,Democrat,Hillary Clinton,2272,20.2
DuPage,Democrat,Bernie Sanders,65159,6.9
Hart,Republican,Donald Trump,1858,25.4
George,Republican,Donald Trump,2245,18.6
Warren,Republican,Donald Trump,1018,15.8
Howard,Republican,Ted Cruz,798,18.2
Bexar,Democrat,Hillary Clinton,76502,17.6
Big Horn,Democrat,Hillary Clinton,2,10.2
Teller,Democrat,Bernie Sanders,219,7.0
Stephenson,Republican,Ted Cruz,3038,15.9
McCormick,Democrat,Hillary Clinton,973,17.2
Macon,Democrat,Hillary Clinton,977,29.4
Greene,Republican,Donald Trump,1088,18.2
Stillwater,Republican,Donald Trump,1658,7.8
Pope,Republican,Donald Trump,3073,19.3
Lamar,Republican,Donald Trump,5197,17.4
Sunflower,Democrat,Hillary Clinton,2332,36.1
Lawrence,Republican,Donald Trump,1201,18.8
Brewster,Democrat,Bernie Sanders,771,12.4
Monroe,Republican,Donald Trump,2602,21.6
Butler,Republican,Donald Trump,910,9.4
Bay,Republican,Donald Trump,14426,14.7
Hyde,Democrat,Hillary Clinton,459,25.6
Delaware,Democrat,Hillary Clinton,440,8.4
Cumberland,Democrat,Hillary Clinton,22744,17.0
Webster,Democrat,Hillary Clinton,866,15.8
Dixie,Republican,Donald Trump,1103,17.4
Henry,Republican,Donald Trump,1778,14.4
Tippecanoe,Republican,Donald Trump,10296,21.6
Shelby,Democrat,Hillary Clinton,2195,12.4
Jackson,Democrat,Bernie Sanders,4656,30.4
Butte,Republican,Donald Trump,15695,20.4
Delta,Republican,Donald Trump,1954,16.4
Charlotte,Republican,Donald Trump,16525,12.6
Missoula,Democrat,Bernie Sanders,13271,16.5
Seminole,Republican,Donald Trump,25763,11.3
Cumberland,Republican,Ted Cruz,1081,13.9
Anderson,Democrat,Bernie Sanders,1649,11.3
Warren,Democrat,Hillary Clinton,2827,26.2
Pierce,Republican,Donald Trump,1345,20.5
Christian,Republican,Ted Cruz,10586,10.6
Elmore,Republican,Donald Trump,1252,16.3
Santa Rosa,Republican,Donald Trump,16044,12.3
Clarke,Democrat,Hillary Clinton,3148,29.3
Allegan,Republican,Ted Cruz,7530,13.5
Wheatland,Republican,Donald Trump,380,11.2
Adams,Republican,Donald Trump,5233,14.4
Hamilton,Republican,Donald Trump,35031,5.1
Boone,Republican,Donald Trump,2577,16.6
Lenoir,Democrat,Hillary Clinton,4731,23.7
Carbon,Republican,Donald Trump,1507,11.1
Jefferson,Democrat,Hillary Clinton,1519,31.5
Randolph,Democrat,Hillary Clinton,690,25.4
Marion,Republican,Ted Cruz,1011,9.2
Elbert,Republican,Donald Trump,1394,20.4
Pickens,Democrat,Hillary Clinton,2326,27.2
Polk,Republican,Donald Trump,1895,23.1
East Feliciana,Democrat,Hillary Clinton,1847,17.3
Sublette,Democrat,Bernie Sanders,3,6.1
Liberty,Republican,Donald Trump,387,21.0
Maricopa,Republican,Donald Trump,144522,16.7
DeKalb,Democrat,Hillary Clinton,82348,19.0
Lincoln,Democrat,Hillary Clinton,779,25.4
Chilton,Republican,Donald Trump,5273,19.5
San Bernardino,Democrat,Hillary Clinton,71246,18.7
Orange,Republican,Donald Trump,2574,17.9
Douglas,Democrat,Bernie Sanders,4510,15.1
Durham,Democrat,Hillary Clinton,35845,18.5
Spencer,Democrat,Bernie Sanders,806,7.7
Hardin,Republican,Donald Trump,496,23.6
Montgomery,Democrat,Hillary Clinton,109304,6.7
St. Tammany,Republican,Donald Trump,12933,10.6
Ralls,Republican,Donald Trump,961,9.9
Tangipahoa,Democrat,Hillary Clinton,4267,21.2
San Francisco,Democrat,Hillary Clinton,85070,13.5
Dallas,Democrat,Hillary Clinton,113574,19.1
Weston,Democrat,Hillary Clinton,1,11.2
Dane,Democrat,Bernie Sanders,102585,12.9
Cass,Republican,Donald Trump,2859,14.5
Walton,Republican,Donald Trump,6650,17.9
Howard,Republican,Donald Trump,8475,16.7
Rabun,Republican,Donald Trump,1732,21.5
Sabine,Republican,Ted Cruz,728,21.7
Wilcox,Democrat,Hillary Clinton,3337,39.2
DeSoto,Republican,Donald Trump,1445,29.6
San Diego,Democrat,Hillary Clinton,139813,14.4
Greene,Republican,Donald Trump,1555,22.3
Dimmit,Democrat,Hillary Clinton,1804,26.5
Osceola,Republican,Ted Cruz,113,8.6
Cleburne,Republican,Donald Trump,2120,18.4
Caroline,Republican,Donald Trump,2521,14.4
Aurora,Democrat,Hillary Clinton,150,6.5
Washington,Republican,Donald Trump,11970,12.4
Gallatin,Republican,Donald Trump,8313,14.1
Union,Democrat,Hillary Clinton,1690,20.1
Reynolds,Republican,Donald Trump,647,24.4
Bronx,Democrat,Hillary Clinton,95772,29.8
Caldwell,Republican,Donald Trump,780,14.3
Dade,Republican,Ted Cruz,997,20.6
Big Horn,Republican,Donald Trump,1087,25.5
Lincoln,Republican,Donald Trump,2950,23.5
Lane,Democrat,Bernie Sanders,41883,20.0
Jefferson,Democrat,Hillary Clinton,1550,40.0
Hitchcock,Republican,Donald Trump,305,15.5
Calloway,Democrat,Bernie Sanders,2239,20.1
Owen,Republican,Donald Trump,2679,14.0
Cumberland,Republican,Donald Trump,1081,13.9
Ashley,Democrat,Hillary Clinton,1375,18.9
Boone,Democrat,Bernie Sanders,715,10.1
Lee,Democrat,Hillary Clinton,7137,22.0
Leslie,Republican,Donald Trump,503,22.6
Kendall,Democrat,Bernie Sanders,7482,4.8
Lewis,Republican,Donald Trump,522,29.1
Greenwood,Democrat,Hillary Clinton,3588,23.1
Holmes,Democrat,Hillary Clinton,3301,43.5
Livingston,Democrat,Bernie Sanders,610,16.9
Sussex,Republican,Donald Trump,17794,13.4
Bamberg,Democrat,Hillary Clinton,1715,27.6
Garfield,Republican,Donald Trump,227,13.0
Presidio,Democrat,Hillary Clinton,776,24.8
Gilchrist,Republican,Donald Trump,1860,24.1
Delta,Democrat,Bernie Sanders,417,15.5
Clearwater,Republican,Donald Trump,629,12.5
Manatee,Republican,Donald Trump,26320,15.1
Moniteau,Republican,Ted Cruz,1374,11.4
St. Francois,Republican,Donald Trump,4061,19.4
Kane,Democrat,Bernie Sanders,31085,11.1
Montgomery,Democrat,Bernie Sanders,1322,25.0
Linn,Republican,Donald Trump,955,15.1
Valencia,Democrat,Hillary Clinton,3123,23.6
Stone,Republican,Ted Cruz,1428,18.0
Mason,Republican,Donald Trump,896,16.3
Lincoln,Republican,Donald Trump,3073,17.9
Lowndes,Republican,Donald Trump,5194,24.3
Radford,Democrat,Bernie Sanders,655,37.7
Bradley,Republican,Donald Trump,770,31.3
Lawrence,Republican,Donald Trump,3604,17.5
Roosevelt,Republican,Donald Trump,712,26.6
Dakota,Republican,Donald Trump,819,16.9
Jefferson,Republican,Donald Trump,17781,11.3
Tillamook,Democrat,Bernie Sanders,2207,16.1
Bacon,Republican,Donald Trump,904,19.0
Ballard,Democrat,Bernie Sanders,659,14.4
Floyd,Republican,Donald Trump,5945,21.0
Campbell,Democrat,Hillary Clinton,3169,13.0
Buena Vista,Republican,Ted Cruz,309,12.8
Kenedy,Democrat,Hillary Clinton,63,32.8
Johnson,Democrat,Bernie Sanders,1,7.5
Tama,Democrat,Hillary Clinton,476,11.5
Rankin,Republican,Donald Trump,13729,11.5
Tompkins,Democrat,Bernie Sanders,9298,20.5
Perry,Republican,Donald Trump,1561,12.0
Shannon,Republican,Donald Trump,808,25.2
Power,Republican,Ted Cruz,421,13.9
Jasper,Republican,Ted Cruz,928,6.6
Johnson,Republican,Donald Trump,1338,20.1
Wolfe,Democrat,Bernie Sanders,499,40.5
Jefferson,Democrat,Hillary Clinton,9936,23.9
Lapeer,Republican,Donald Trump,7446,11.0
Logan,Democrat,Bernie Sanders,1131,21.2
Lunenburg,Democrat,Hillary Clinton,738,22.6
Schuyler,Republican,Donald Trump,428,24.0
