"county","party","candidate","votes","veterans_factor"
Buncombe,Democrat,Bernie Sanders,30913,0.08
Marshall,Democrat,Hillary Clinton,3361,0.06
Hickory,Republican,Donald Trump,297,0.14
Staunton,Democrat,Bernie Sanders,1364,0.07
Cooper,Republican,Ted Cruz,1369,0.08
Clay,Republican,Ted Cruz,13559,0.08
Maries,Republican,Donald Trump,958,0.10
Gilchrist,Republican,Donald Trump,1860,0.11
Gulf,Republican,Donald Trump,1038,0.09
Boone,Democrat,Hillary Clinton,2932,0.07
Pottawattamie,Democrat,Bernie Sanders,1573,0.08
Black Hawk,Democrat,Bernie Sanders,3647,0.07
Grand,Democrat,Bernie Sanders,187,0.10
Loup,Republican,Donald Trump,101,0.11
Burt,Republican,Donald Trump,603,0.10
Bay,Republican,Donald Trump,14426,0.12
Frontier,Republican,Donald Trump,315,0.10
Garfield,Republican,Donald Trump,227,0.09
Chattooga,Republican,Donald Trump,1674,0.06
Trinity,Republican,Donald Trump,1026,0.13
Winnebago,Democrat,Bernie Sanders,17818,0.08
Jefferson,Republican,Donald Trump,3281,0.09
Santa Rosa,Republican,Donald Trump,16044,0.13
Otsego,Democrat,Bernie Sanders,2623,0.09
Darlington,Democrat,Hillary Clinton,4988,0.07
Grayson,Republican,Donald Trump,749,0.07
Cullman,Republican,Donald Trump,10618,0.08
Owen,Republican,Donald Trump,2679,0.10
Lucas,Republican,Ted Cruz,213,0.08
Talbot,Democrat,Hillary Clinton,852,0.08
Benzie,Democrat,Bernie Sanders,1650,0.11
Suwannee,Republican,Donald Trump,2844,0.10
Dale,Republican,Donald Trump,4151,0.14
Bibb,Republican,Donald Trump,1959,0.06
Floyd,Democrat,Hillary Clinton,453,0.09
Carroll,Republican,John Kasich,0,0.11
Newaygo,Republican,Ted Cruz,3557,0.09
Talladega,Republican,Donald Trump,6304,0.08
Liberty,Democrat,Bernie Sanders,392,0.08
Towns,Republican,Donald Trump,1356,0.12
Sheridan,Democrat,Hillary Clinton,7,0.10
Guthrie,Democrat,Hillary Clinton,220,0.08
Manassas Park,Democrat,Hillary Clinton,581,0.06
McDuffie,Republican,Donald Trump,1288,0.05
Caddo,Democrat,Hillary Clinton,16666,0.08
Greene,Republican,Donald Trump,4491,0.09
Kossuth,Democrat,Hillary Clinton,360,0.09
Jefferson,Democrat,Hillary Clinton,17581,0.06
Breckinridge,Democrat,Hillary Clinton,877,0.09
Clay,Democrat,Bernie Sanders,303,0.08
Natchitoches,Democrat,Hillary Clinton,2545,0.06
Suffolk,Democrat,Hillary Clinton,7533,0.12
Sheridan,Democrat,Bernie Sanders,7,0.10
Richland,Democrat,Bernie Sanders,1784,0.08
Carroll,Democrat,Hillary Clinton,504,0.07
Nez Perce,Republican,Ted Cruz,1583,0.10
Champaign,Democrat,Bernie Sanders,20581,0.05
Bell,Republican,Donald Trump,692,0.06
Mono,Democrat,Bernie Sanders,917,0.06
Hidalgo,Democrat,Hillary Clinton,515,0.07
DeSoto,Democrat,Hillary Clinton,1508,0.08
McCracken,Democrat,Bernie Sanders,3541,0.09
Jackson,Democrat,Bernie Sanders,1845,0.09
Hale,Democrat,Hillary Clinton,2426,0.07
Columbia,Republican,Donald Trump,1149,0.06
Sharkey,Democrat,Hillary Clinton,645,0.06
Woodruff,Democrat,Hillary Clinton,862,0.08
White,Republican,Donald Trump,1424,0.10
Boyle,Democrat,Hillary Clinton,1648,0.07
Burlington,Democrat,Hillary Clinton,32712,0.08
Pointe Coupee,Democrat,Hillary Clinton,1680,0.06
Colquitt,Republican,Donald Trump,2967,0.05
Randolph,Democrat,Hillary Clinton,690,0.08
Putnam,Republican,Donald Trump,1983,0.10
Chase,Republican,Donald Trump,476,0.07
Clark,Democrat,Hillary Clinton,1650,0.08
Madison,Republican,Ted Cruz,4079,0.03
Greer,Democrat,Bernie Sanders,332,0.09
Madison,Republican,Donald Trump,1412,0.10
Cass,Democrat,Hillary Clinton,300,0.09
Fremont,Democrat,Hillary Clinton,10,0.09
Apache,Democrat,Hillary Clinton,4450,0.06
Johnson,Republican,Donald Trump,326,0.09
Mackinac,Republican,Donald Trump,856,0.11
Bradley,Republican,Donald Trump,770,0.07
Trimble,Democrat,Bernie Sanders,542,0.07
Clark,Republican,Donald Trump,1484,0.09
Volusia,Republican,Donald Trump,34167,0.11
Oakland,Democrat,Hillary Clinton,92296,0.05
Lexington,Democrat,Hillary Clinton,402,0.04
Gooding,Republican,Ted Cruz,863,0.07
Haywood,Democrat,Hillary Clinton,1197,0.06
Benton,Republican,Donald Trump,2278,0.13
Gogebic,Democrat,Bernie Sanders,790,0.12
Mercer,Democrat,Bernie Sanders,1331,0.08
Abbeville,Democrat,Hillary Clinton,1501,0.08
Gratiot,Democrat,Bernie Sanders,1812,0.07
Macon,Democrat,Hillary Clinton,977,0.06
Montgomery,Democrat,Hillary Clinton,28650,0.09
Mora,Democrat,Hillary Clinton,986,0.09
Fleming,Democrat,Bernie Sanders,806,0.07
Fayette,Democrat,Hillary Clinton,525,0.08
Camas,Republican,Donald Trump,130,0.13
Livingston,Republican,Donald Trump,4918,0.06
Webster,Republican,Donald Trump,1191,0.05
McIntosh,Democrat,Bernie Sanders,1261,0.11
Tallahatchie,Democrat,Hillary Clinton,1341,0.04
Yuma,Republican,Donald Trump,4390,0.08
Columbia,Democrat,Bernie Sanders,6455,0.08
Luce,Republican,Donald Trump,407,0.09
Worth,Republican,Donald Trump,1890,0.09
Logan,Democrat,Bernie Sanders,3201,0.08
Sumter,Democrat,Hillary Clinton,9816,0.11
Buffalo,Democrat,Hillary Clinton,110,0.04
Jones,Democrat,Hillary Clinton,910,0.11
Union,Democrat,Hillary Clinton,822,0.08
Ouachita,Democrat,Hillary Clinton,2095,0.08
Houston,Republican,Donald Trump,7091,0.12
Hempstead,Republican,Ted Cruz,917,0.07
Calhoun,Republican,Donald Trump,8960,0.10
Carroll,Republican,Donald Trump,1268,0.09
Falls Church,Democrat,Hillary Clinton,1587,0.05
Lassen,Republican,Donald Trump,2508,0.10
Tyrrell,Democrat,Hillary Clinton,266,0.08
Custer,Republican,Donald Trump,1306,0.09
Marion,Republican,Ted Cruz,2263,0.08
Iron,Republican,Donald Trump,868,0.13
Lincoln,Republican,Ted Cruz,276,0.05
Lawrence,Democrat,Bernie Sanders,659,0.05
Cumberland,Republican,Donald Trump,460,0.07
Greenwood,Democrat,Hillary Clinton,3588,0.07
Nowata,Democrat,Bernie Sanders,530,0.09
Covington,Democrat,Hillary Clinton,244,0.11
Lewis,Republican,Donald Trump,522,0.06
Powder River,Republican,Donald Trump,516,0.08
Elbert,Republican,Donald Trump,1394,0.08
Poinsett,Republican,Donald Trump,1036,0.08
Washington,Republican,Donald Trump,3156,0.07
Tompkins,Democrat,Bernie Sanders,9298,0.05
Kalamazoo,Democrat,Bernie Sanders,20146,0.06
Nevada,Democrat,Bernie Sanders,8472,0.10
Coconino,Democrat,Bernie Sanders,6941,0.06
Stephens,Republican,Donald Trump,1726,0.07
Hot Spring,Republican,Donald Trump,1597,0.10
Cochise,Republican,Donald Trump,6339,0.15
Lafayette,Republican,Donald Trump,2518,0.08
Fremont,Democrat,Bernie Sanders,268,0.12
Tallapoosa,Republican,Donald Trump,4658,0.09
Lee,Democrat,Hillary Clinton,2207,0.06
Nemaha,Republican,Donald Trump,472,0.09
Lewis and Clark,Republican,Donald Trump,6194,0.10
Bladen,Democrat,Hillary Clinton,3442,0.06
Zapata,Democrat,Hillary Clinton,1969,0.03
Montgomery,Democrat,Bernie Sanders,1322,0.06
Taney,Republican,Donald Trump,5086,0.10
Lawrence,Democrat,Hillary Clinton,933,0.09
Broomfield,Democrat,Bernie Sanders,1010,0.06
Adair,Republican,Donald Trump,1404,0.06
St. Louis City,Democrat,Hillary Clinton,34458,0.06
Calhoun,Democrat,Hillary Clinton,499,0.06
Davis,Republican,Donald Trump,205,0.08
Delta,Republican,Donald Trump,1954,0.12
Clarke,Republican,Donald Trump,1399,0.08
Wayne,Republican,Donald Trump,2075,0.09
Alpine,Democrat,Bernie Sanders,129,0.16
Charles City,Democrat,Hillary Clinton,863,0.10
Yellowstone,Republican,Donald Trump,17925,0.09
Nance,Republican,Donald Trump,310,0.07
Henrico,Democrat,Hillary Clinton,28121,0.07
Stillwater,Republican,Donald Trump,1658,0.12
Morgan,Republican,Donald Trump,2378,0.09
Essex,Democrat,Hillary Clinton,642,0.08
Miller,Republican,Donald Trump,555,0.06
Appanoose,Republican,Donald Trump,292,0.08
Sarasota,Republican,Donald Trump,34593,0.12
Newton,Democrat,Hillary Clinton,7269,0.07
Johnson,Republican,Donald Trump,1338,0.07
Gilmer,Democrat,Bernie Sanders,643,0.09
Sumter,Republican,Donald Trump,17769,0.16
Caswell,Democrat,Hillary Clinton,1701,0.06
Hood River,Democrat,Bernie Sanders,2527,0.06
Walker,Republican,Donald Trump,4208,0.09
Pulaski,Republican,Donald Trump,2821,0.07
Orange,Republican,Donald Trump,146888,0.04
Crittenden,Democrat,Bernie Sanders,344,0.09
Phillips,Republican,Donald Trump,1097,0.09
Columbia,Republican,Donald Trump,9177,0.10
Fayette,Republican,Donald Trump,8055,0.10
Brooks,Democrat,Hillary Clinton,1603,0.06
Mitchell,Democrat,Hillary Clinton,260,0.08
Ben Hill,Republican,Donald Trump,1020,0.06
Liberty,Democrat,Hillary Clinton,2783,0.16
Jackson,Democrat,Hillary Clinton,450,0.09
Dickinson,Democrat,Bernie Sanders,358,0.10
Wayne,Republican,Donald Trump,805,0.06
Bracken,Democrat,Bernie Sanders,424,0.07
Pulaski,Republican,Donald Trump,1668,0.07
Jennings,Republican,Donald Trump,3361,0.08
Perry,Republican,Donald Trump,1461,0.09
Ravalli,Republican,Donald Trump,6281,0.11
Crisp,Republican,Donald Trump,1204,0.07
Marion,Republican,Donald Trump,3503,0.08
Antelope,Republican,Donald Trump,772,0.09
Roosevelt,Republican,Donald Trump,712,0.04
Richland,Republican,Donald Trump,1435,0.07
Monroe,Republican,Ted Cruz,195,0.08
Trumbull,Democrat,Hillary Clinton,17903,0.09
Boulder,Democrat,Bernie Sanders,11142,0.05
Caldwell,Republican,Donald Trump,780,0.11
Starr,Democrat,Hillary Clinton,6918,0.02
Perkins,Republican,Donald Trump,331,0.05
Caldwell,Republican,Donald Trump,284,0.07
Cass,Republican,Ted Cruz,7671,0.09
Sabine,Republican,Ted Cruz,728,0.09
Howard,Republican,Ted Cruz,798,0.08
Yuma,Democrat,Hillary Clinton,45,0.06
Knox,Republican,Donald Trump,4918,0.07
Oglala Lakota,Democrat,Bernie Sanders,574,0.05
Jasper,Republican,Ted Cruz,11113,0.07
Scotland,Democrat,Hillary Clinton,2671,0.07
Pike,Republican,Donald Trump,1241,0.10
Baraga,Republican,Donald Trump,468,0.10
Crawford,Republican,Donald Trump,1508,0.09
Pondera,Republican,Donald Trump,930,0.08
Buchanan,Democrat,Hillary Clinton,525,0.07
Ohio,Democrat,Bernie Sanders,943,0.07
Chippewa,Republican,Donald Trump,1959,0.10
Cobb,Democrat,Hillary Clinton,39277,0.06
Reynolds,Republican,Donald Trump,647,0.10
Stark,Republican,Ted Cruz,448,0.08
Tift,Republican,Donald Trump,2697,0.05
Brooklyn,Democrat,Hillary Clinton,174236,0.02
Prowers,Democrat,Hillary Clinton,40,0.08
Greenlee,Democrat,Hillary Clinton,497,0.09
Iroquois,Republican,Donald Trump,2836,0.08
Upson,Republican,Donald Trump,1910,0.07
Santa Cruz,Democrat,Bernie Sanders,25171,0.05
Washington,Republican,Donald Trump,11970,0.08
Meriwether,Democrat,Hillary Clinton,1463,0.07
San Miguel,Democrat,Bernie Sanders,329,0.05
Logan,Democrat,Bernie Sanders,1131,0.07
Chatham,Democrat,Hillary Clinton,7406,0.08
Beaufort,Democrat,Hillary Clinton,9945,0.11
Choctaw,Democrat,Bernie Sanders,745,0.07
Treasure,Republican,Donald Trump,143,0.12
Judith Basin,Republican,Donald Trump,421,0.12
Quitman,Democrat,Hillary Clinton,193,0.10
Contra Costa,Democrat,Hillary Clinton,69809,0.05
St. Johns,Republican,Donald Trump,24205,0.09
Toole,Republican,Donald Trump,863,0.14
Owsley,Republican,Donald Trump,168,0.05
West Carroll,Republican,Ted Cruz,342,0.06
Granville,Democrat,Hillary Clinton,4693,0.08
Pontotoc,Republican,Ted Cruz,2498,0.05
Shelby,Democrat,Bernie Sanders,232,0.09
White,Republican,Ted Cruz,4395,0.08
Wilcox,Democrat,Hillary Clinton,3337,0.04
Maui,Democrat,Bernie Sanders,4419,0.06
Prairie,Democrat,Hillary Clinton,558,0.10
Grady,Republican,Donald Trump,1422,0.07
Jeff Davis,Republican,Donald Trump,1071,0.05
Lauderdale,Republican,Donald Trump,4740,0.08
Glenn,Republican,Donald Trump,1699,0.05
Bullock,Democrat,Hillary Clinton,2451,0.06
Anderson,Democrat,Bernie Sanders,1649,0.07
Texas,Republican,Donald Trump,2659,0.11
Mingo,Democrat,Bernie Sanders,2425,0.06
Choctaw,Democrat,Hillary Clinton,1772,0.07
Polk,Republican,Ted Cruz,3430,0.08
Gordon,Republican,Donald Trump,4339,0.06
Emmet,Democrat,Bernie Sanders,2589,0.09
Eau Claire,Democrat,Bernie Sanders,13058,0.07
Fresno,Republican,Donald Trump,37672,0.04
St. Tammany,Republican,Donald Trump,12933,0.08
Grenada,Republican,Donald Trump,1727,0.05
Davidson,Democrat,Hillary Clinton,43691,0.06
Lowndes,Democrat,Hillary Clinton,4030,0.09
Crenshaw,Republican,Donald Trump,1496,0.08
Issaquena,Democrat,Hillary Clinton,175,0.06
Johnson,Republican,Donald Trump,1383,0.11
Ripley,Republican,Donald Trump,3694,0.08
Clark,Democrat,Bernie Sanders,1888,0.07
Kenton,Democrat,Hillary Clinton,5146,0.07
Keya Paha,Republican,Donald Trump,203,0.07
Petroleum,Republican,Donald Trump,167,0.14
Montgomery,Republican,Donald Trump,4412,0.07
Macon,Republican,Donald Trump,1489,0.09
Sac,Republican,Donald Trump,212,0.09
Sauk,Democrat,Bernie Sanders,7195,0.08
El Paso,Democrat,Bernie Sanders,4954,0.12
Tishomingo,Republican,Donald Trump,1854,0.08
Madison,Republican,Donald Trump,23791,0.10
Adams,Democrat,Hillary Clinton,3013,0.06
Dallas,Democrat,Hillary Clinton,113574,0.04
Cecil,Republican,Donald Trump,7348,0.08
Rabun,Republican,Donald Trump,1732,0.09
Calcasieu,Democrat,Hillary Clinton,6594,0.07
Howard,Republican,Donald Trump,8475,0.09
Morgan,Republican,Donald Trump,1656,0.08
Hughes,Democrat,Bernie Sanders,873,0.07
Lee,Democrat,Hillary Clinton,3224,0.08
Jerauld,Democrat,Hillary Clinton,96,0.09
Highlands,Republican,Donald Trump,7480,0.13
Wheeler,Republican,Donald Trump,283,0.06
Lee,Republican,Ted Cruz,5921,0.06
Lincoln,Democrat,Hillary Clinton,599,0.06
Essex,Democrat,Hillary Clinton,75071,0.03
Telfair,Republican,Donald Trump,626,0.06
Haskell,Democrat,Bernie Sanders,752,0.08
Alamosa,Democrat,Bernie Sanders,167,0.07
Madera,Republican,Donald Trump,8247,0.05
Randolph,Republican,Donald Trump,1887,0.08
Baker,Democrat,Hillary Clinton,303,0.04
Queens,Democrat,Hillary Clinton,122386,0.02
Calhoun,Democrat,Bernie Sanders,503,0.09
Marshall,Democrat,Hillary Clinton,287,0.08
Clayton,Democrat,Hillary Clinton,25130,0.07
Clay,Republican,Donald Trump,3615,0.07
Bacon,Republican,Donald Trump,904,0.04
Wetzel,Democrat,Bernie Sanders,1744,0.09
Hendricks,Republican,Donald Trump,18555,0.07
Charleston,Democrat,Hillary Clinton,26535,0.08
Yancey,Democrat,Bernie Sanders,1386,0.07
Oktibbeha,Democrat,Hillary Clinton,2389,0.04
Warren,Republican,Donald Trump,1321,0.08
Howard,Republican,Donald Trump,559,0.06
St. James,Democrat,Hillary Clinton,2114,0.06
Hardin,Republican,Donald Trump,496,0.09
Linn,Democrat,Bernie Sanders,6331,0.08
Clay,Democrat,Bernie Sanders,754,0.08
Roanoke City,Democrat,Hillary Clinton,4783,0.08
Montgomery,Democrat,Hillary Clinton,953,0.07
St. Mary,Democrat,Hillary Clinton,1995,0.07
Somerset,Democrat,Hillary Clinton,19667,0.04
Bibb,Democrat,Hillary Clinton,12944,0.07
Okeechobee,Republican,Donald Trump,2202,0.08
Williamsburg,Democrat,Bernie Sanders,1197,0.07
Lane,Democrat,Bernie Sanders,41883,0.09
Nodaway,Republican,Donald Trump,1268,0.06
Otsego,Republican,Donald Trump,1933,0.09
Osage,Democrat,Hillary Clinton,2390,0.09
Concordia,Democrat,Hillary Clinton,1830,0.07
Henry,Democrat,Hillary Clinton,15639,0.08
Ware,Republican,Donald Trump,1998,0.07
Frederick,Republican,Donald Trump,15076,0.07
Edgefield,Democrat,Hillary Clinton,1474,0.08
Southampton,Democrat,Hillary Clinton,1199,0.12
Polk,Republican,Donald Trump,33187,0.08
Stephenson,Republican,Ted Cruz,3038,0.08
Reeves,Democrat,Hillary Clinton,1128,0.04
Dawson,Republican,Donald Trump,2649,0.08
Miner,Democrat,Hillary Clinton,109,0.08
Broadwater,Republican,Donald Trump,1001,0.12
Madison,Republican,Ted Cruz,452,0.09
Summit,Democrat,Bernie Sanders,1645,0.05
Bourbon,Democrat,Hillary Clinton,1109,0.08
Walton,Republican,Donald Trump,6650,0.11
Osceola,Democrat,Hillary Clinton,16512,0.05
Wabash,Republican,Donald Trump,3932,0.08
Arenac,Republican,Donald Trump,1141,0.10
Brewster,Democrat,Bernie Sanders,771,0.08
Cumberland,Democrat,Hillary Clinton,6875,0.05
Benton,Democrat,Bernie Sanders,11567,0.06
Kent,Republican,Donald Trump,8294,0.11
Washington,Republican,Donald Trump,1666,0.09
Flathead,Republican,Donald Trump,10642,0.09
Carter,Democrat,Bernie Sanders,1051,0.06
Lee,Democrat,Hillary Clinton,7137,0.07
Vernon,Republican,Donald Trump,1530,0.07
Jackson,Republican,Donald Trump,9934,0.10
Shelby,Democrat,Hillary Clinton,66465,0.06
Bath,Democrat,Bernie Sanders,641,0.05
Passaic,Democrat,Hillary Clinton,29538,0.03
Richmond,Democrat,Hillary Clinton,333,0.06
Jackson,Democrat,Bernie Sanders,3021,0.08
Adair,Democrat,Hillary Clinton,168,0.11
Lackawanna,Democrat,Hillary Clinton,22971,0.09
Boone,Democrat,Bernie Sanders,15076,0.06
Daniels,Republican,Donald Trump,340,0.10
Calhoun,Democrat,Hillary Clinton,1536,0.09
Hardeman,Democrat,Hillary Clinton,1721,0.07
DeSoto,Republican,Ted Cruz,12300,0.06
Athens,Democrat,Bernie Sanders,5663,0.06
Glynn,Republican,Donald Trump,5516,0.10
Bronx,Democrat,Hillary Clinton,95772,0.02
Butler,Democrat,Hillary Clinton,2196,0.07
Seminole,Republican,Donald Trump,754,0.07
Roger Mills,Democrat,Bernie Sanders,268,0.07
Pitt,Democrat,Hillary Clinton,11856,0.06
Baldwin,Republican,Donald Trump,23618,0.10
Iowa,Democrat,Hillary Clinton,357,0.06
Kleberg,Democrat,Hillary Clinton,1738,0.07
Cheyenne,Democrat,Hillary Clinton,5,0.07
Manassas,Democrat,Hillary Clinton,1812,0.06
Cleburne,Republican,Donald Trump,2120,0.07
Jessamine,Democrat,Bernie Sanders,2113,0.06
Carroll,Republican,Donald Trump,1133,0.05
Early,Republican,Donald Trump,760,0.07
Hancock,Democrat,Hillary Clinton,1112,0.07
Clinch,Republican,Donald Trump,412,0.07
Orleans,Democrat,Hillary Clinton,40601,0.05
Atchison,Republican,Donald Trump,487,0.11
Yuba,Republican,Donald Trump,3210,0.09
Garfield,Democrat,Bernie Sanders,734,0.06
Big Horn,Democrat,Bernie Sanders,2,0.09
Gilmer,Republican,Donald Trump,3314,0.08
DeKalb,Democrat,Bernie Sanders,8315,0.05
Monroe,Republican,Donald Trump,2602,0.07
Erie,Democrat,Hillary Clinton,19511,0.08
Placer,Republican,Donald Trump,25700,0.08
Escambia,Republican,Donald Trump,2817,0.08
Midland,Republican,Ted Cruz,4720,0.07
Oklahoma,Democrat,Hillary Clinton,34255,0.08
Delta,Democrat,Bernie Sanders,417,0.12
Monroe,Republican,Donald Trump,8802,0.08
Brevard,Republican,Donald Trump,45483,0.12
Holmes,Republican,Donald Trump,1239,0.10
Fairfax City,Democrat,Hillary Clinton,1840,0.07
Simpson,Democrat,Hillary Clinton,708,0.06
Williamson,Republican,Donald Trump,4929,0.09
Banks,Republican,Donald Trump,1806,0.07
Tillamook,Democrat,Bernie Sanders,2207,0.11
McCormick,Democrat,Hillary Clinton,973,0.12
Madison,Republican,Donald Trump,2460,0.06
Logan,Republican,Donald Trump,1208,0.09
Dane,Democrat,Bernie Sanders,102585,0.05
Henry,Republican,Donald Trump,1778,0.09
Adams,Democrat,Hillary Clinton,113,0.09
Jay,Republican,Donald Trump,2194,0.07
Macomb,Republican,Donald Trump,60492,0.06
Vermillion,Republican,Donald Trump,1748,0.10
Bates,Republican,Donald Trump,1306,0.07
Russell,Republican,Donald Trump,1106,0.06
Bayfield,Democrat,Bernie Sanders,2604,0.11
Calhoun,Republican,Donald Trump,1323,0.05
Clay,Democrat,Hillary Clinton,623,0.07
Daviess,Republican,Donald Trump,3894,0.06
Morgan,Democrat,Bernie Sanders,87,0.06
Costilla,Democrat,Hillary Clinton,64,0.12
Pulaski,Republican,Donald Trump,673,0.08
Philadelphia,Democrat,Hillary Clinton,212785,0.05
Wasco,Democrat,Bernie Sanders,1795,0.10
Hardin,Republican,Ted Cruz,417,0.09
Eaton,Democrat,Bernie Sanders,7007,0.07
Butler,Republican,Donald Trump,910,0.10
Wilcox,Republican,Donald Trump,602,0.07
Arapahoe,Democrat,Bernie Sanders,6086,0.07
Jim Wells,Democrat,Hillary Clinton,4688,0.05
Alpena,Republican,Donald Trump,1885,0.10
Bannock,Republican,Ted Cruz,4404,0.07
Allegany,Republican,Donald Trump,6272,0.09
Randolph,Republican,Donald Trump,1917,0.09
Oscoda,Republican,Donald Trump,705,0.13
Vanderburgh,Republican,Donald Trump,14544,0.07
Whitfield,Republican,Donald Trump,5945,0.05
Robeson,Democrat,Hillary Clinton,8457,0.06
Lake,Republican,Donald Trump,26393,0.11
Santa Cruz,Democrat,Hillary Clinton,2496,0.05
Hamilton,Republican,Donald Trump,35031,0.05
Cherry,Republican,Donald Trump,1220,0.09
Dakota,Republican,Donald Trump,819,0.06
Warren,Democrat,Hillary Clinton,2827,0.09
Pettis,Republican,Donald Trump,3343,0.08
Buchanan,Republican,Donald Trump,4691,0.08
Fayette,Democrat,Hillary Clinton,20014,0.06
Barton,Republican,Ted Cruz,1560,0.08
Alger,Democrat,Bernie Sanders,622,0.12
Clay,Republican,Donald Trump,887,0.04
