"county","party","candidate","votes","veterans_factor"
Caroline,Democrat,Hillary Clinton,1902,0.09
Franklin,Republican,Donald Trump,761,0.08
Schoolcraft,Republican,Donald Trump,529,0.11
Dimmit,Democrat,Hillary Clinton,1804,0.04
Payette,Republican,Ted Cruz,1364,0.09
Charles,Democrat,Hillary Clinton,15132,0.10
Iron,Republican,Donald Trump,800,0.11
Maverick,Democrat,Hillary Clinton,4342,0.02
Hart,Republican,Donald Trump,1858,0.08
Scott,Republican,Donald Trump,3373,0.08
Pickens,Republican,Donald Trump,3360,0.09
Jim Hogg,Democrat,Hillary Clinton,1421,0.06
Whitley,Republican,Ted Cruz,4064,0.08
Santa Clara,Democrat,Hillary Clinton,109963,0.04
Bureau,Republican,Donald Trump,2185,0.08
Sevier,Republican,Donald Trump,593,0.06
Clarke,Democrat,Hillary Clinton,3148,0.06
Hancock,Republican,Donald Trump,4147,0.10
Ozark,Republican,Donald Trump,1099,0.14
Ralls,Republican,Donald Trump,961,0.10
Kent,Democrat,Hillary Clinton,1460,0.09
King and Queen,Democrat,Hillary Clinton,477,0.10
Sanilac,Republican,Donald Trump,3279,0.08
Bexar,Democrat,Hillary Clinton,76502,0.08
Boone,Democrat,Bernie Sanders,2410,0.08
Scott,Democrat,Hillary Clinton,2013,0.04
Switzerland,Republican,Donald Trump,858,0.08
Houghton,Democrat,Bernie Sanders,2039,0.08
Hancock,Republican,Donald Trump,1494,0.09
Emporia,Democrat,Hillary Clinton,404,0.06
Polk,Democrat,Hillary Clinton,12122,0.06
Dolores,Democrat,Bernie Sanders,22,0.09
Attala,Democrat,Hillary Clinton,1519,0.07
Saint Francis,Democrat,Hillary Clinton,1912,0.07
Randolph,Republican,Donald Trump,2939,0.08
Martin,Republican,Donald Trump,1398,0.09
Hawaii,Democrat,Bernie Sanders,5605,0.08
Carroll,Republican,Donald Trump,7495,0.06
Gibson,Republican,Donald Trump,4237,0.07
Seminole,Republican,Donald Trump,25763,0.07
Winston,Republican,Donald Trump,3352,0.07
Los Angeles,Democrat,Hillary Clinton,590502,0.03
Camden,Democrat,Hillary Clinton,43720,0.06
Shiawassee,Democrat,Bernie Sanders,4452,0.08
Harris,Republican,Donald Trump,2542,0.11
Clatsop,Democrat,Bernie Sanders,3334,0.11
Lyon,Democrat,Bernie Sanders,561,0.11
Carroll,Republican,Donald Trump,0,0.11
Merrick,Republican,Donald Trump,775,0.11
Jones,Democrat,Bernie Sanders,480,0.10
Union,Democrat,Bernie Sanders,1106,0.08
Platte,Republican,Donald Trump,2902,0.07
Delaware,Democrat,Hillary Clinton,440,0.07
Lauderdale,Republican,Donald Trump,7502,0.08
Macoupin,Democrat,Bernie Sanders,3552,0.10
Santa Fe,Democrat,Hillary Clinton,16087,0.08
Valley,Republican,Donald Trump,1250,0.09
Conecuh,Democrat,Hillary Clinton,2031,0.09
Carter,Democrat,Bernie Sanders,2113,0.08
Peoria,Democrat,Hillary Clinton,11341,0.07
Baca,Democrat,Hillary Clinton,15,0.09
Ada,Republican,Ted Cruz,20156,0.07
Eagle,Democrat,Bernie Sanders,623,0.03
Fulton,Democrat,Hillary Clinton,701,0.11
Breathitt,Democrat,Bernie Sanders,1716,0.04
St. Clair,Democrat,Hillary Clinton,20987,0.11
Knox,Republican,Donald Trump,1285,0.05
Jackson,Democrat,Hillary Clinton,827,0.09
Bertie,Democrat,Hillary Clinton,2065,0.06
Custer,Democrat,Bernie Sanders,45,0.18
Warren,Democrat,Hillary Clinton,3463,0.06
Sacramento,Democrat,Hillary Clinton,68248,0.06
McDowell,Democrat,Bernie Sanders,1453,0.07
Garrard,Republican,Donald Trump,581,0.07
Treutlen,Republican,Donald Trump,437,0.05
Taliaferro,Democrat,Hillary Clinton,236,0.06
Elkhart,Republican,Ted Cruz,16204,0.06
Franklin,Democrat,Hillary Clinton,665,0.10
Bremer,Democrat,Hillary Clinton,640,0.08
Lunenburg,Democrat,Hillary Clinton,738,0.09
St. Clair,Republican,Donald Trump,8596,0.08
Westchester,Democrat,Hillary Clinton,69628,0.04
Hooker,Republican,Donald Trump,119,0.10
DuPage,Democrat,Bernie Sanders,65159,0.05
Newport News,Democrat,Hillary Clinton,12495,0.12
Braxton,Democrat,Bernie Sanders,1321,0.09
East Carroll,Democrat,Hillary Clinton,508,0.03
Brantley,Republican,Donald Trump,1161,0.07
Wicomico,Republican,Donald Trump,6998,0.07
Elliott,Democrat,Bernie Sanders,443,0.06
Assumption,Democrat,Hillary Clinton,1139,0.07
Tippah,Republican,Donald Trump,1951,0.06
Hot Springs,Democrat,Hillary Clinton,1,0.14
Travis,Democrat,Bernie Sanders,73889,0.05
Modoc,Republican,Donald Trump,1019,0.11
St. Francois,Republican,Donald Trump,4061,0.09
Cass,Republican,Donald Trump,1811,0.12
Cheboygan,Republican,Donald Trump,2089,0.11
Barbour,Democrat,Hillary Clinton,2567,0.08
Sussex,Democrat,Hillary Clinton,958,0.09
Fayette,Republican,Donald Trump,2479,0.07
Dillon,Democrat,Hillary Clinton,1615,0.07
Lake,Republican,Donald Trump,2927,0.10
Harris,Democrat,Hillary Clinton,156729,0.04
Larimer,Democrat,Bernie Sanders,6664,0.07
Charlottesville,Democrat,Bernie Sanders,4474,0.04
Calhoun,Democrat,Hillary Clinton,413,0.08
Carroll,Democrat,Bernie Sanders,0,0.11
Clinton,Republican,Donald Trump,1635,0.10
Marion,Republican,Donald Trump,2760,0.09
Laurens,Republican,Donald Trump,3088,0.07
Kalkaska,Republican,Donald Trump,1724,0.09
Zavala,Democrat,Hillary Clinton,1557,0.03
Jefferson,Democrat,Hillary Clinton,1671,0.12
Madison,Republican,Donald Trump,2280,0.07
Val Verde,Democrat,Hillary Clinton,1777,0.06
Swain,Democrat,Bernie Sanders,831,0.08
Johnson,Republican,Donald Trump,3035,0.11
Allen,Republican,Ted Cruz,29963,0.06
Manhattan,Democrat,Hillary Clinton,177496,0.03
Valencia,Democrat,Hillary Clinton,3123,0.10
Jackson,Republican,Donald Trump,5463,0.08
McCurtain,Democrat,Bernie Sanders,1314,0.08
Harlan,Republican,Donald Trump,436,0.09
La Plata,Democrat,Bernie Sanders,1466,0.07
Crook,Democrat,Bernie Sanders,1,0.07
San Bernardino,Democrat,Hillary Clinton,71246,0.05
Kemper,Democrat,Hillary Clinton,1008,0.06
Okaloosa,Republican,Donald Trump,17770,0.15
Bonner,Republican,Ted Cruz,3132,0.11
Arthur,Republican,Donald Trump,68,0.07
Blaine,Republican,Donald Trump,465,0.08
Woodford,Democrat,Bernie Sanders,1918,0.08
Karnes,Democrat,Hillary Clinton,719,0.08
Ziebach,Democrat,Bernie Sanders,132,0.05
Owen,Democrat,Bernie Sanders,720,0.06
Roscommon,Republican,Donald Trump,2257,0.13
Shelby,Republican,Donald Trump,5044,0.08
East Feliciana,Democrat,Hillary Clinton,1847,0.06
Park,Republican,Donald Trump,1901,0.09
Grand,Democrat,Bernie Sanders,636,0.07
Lewis,Republican,Donald Trump,801,0.08
Perry,Republican,Donald Trump,676,0.07
Izard,Republican,Donald Trump,873,0.12
Dawes,Republican,Donald Trump,831,0.09
Summit,Democrat,Bernie Sanders,419,0.05
Marshall,Republican,Donald Trump,9115,0.08
Caroline,Republican,Donald Trump,2521,0.09
Merced,Democrat,Hillary Clinton,7169,0.04
Richland,Democrat,Hillary Clinton,696,0.05
Livingston,Republican,Donald Trump,15359,0.07
Missoula,Democrat,Bernie Sanders,13271,0.08
Livingston,Republican,Ted Cruz,3235,0.07
Grant,Republican,Donald Trump,162,0.08
Montgomery,Democrat,Bernie Sanders,5090,0.05
Pottawatomie,Democrat,Bernie Sanders,3400,0.09
Daviess,Republican,Donald Trump,634,0.10
Calhoun,Democrat,Bernie Sanders,5810,0.08
Calhoun,Democrat,Bernie Sanders,545,0.11
Fairfax,Democrat,Hillary Clinton,86898,0.07
Marin,Democrat,Hillary Clinton,27238,0.06
Pecos,Democrat,Hillary Clinton,816,0.05
Erie,Democrat,Hillary Clinton,50199,0.07
Bulloch,Republican,Donald Trump,3111,0.06
Honolulu,Democrat,Bernie Sanders,11458,0.08
Rapides,Democrat,Hillary Clinton,4722,0.08
Saginaw,Democrat,Hillary Clinton,12348,0.08
McKinley,Democrat,Hillary Clinton,4761,0.04
Covington,Republican,Donald Trump,4608,0.09
Chester,Democrat,Hillary Clinton,1962,0.08
Franklin,Democrat,Bernie Sanders,5398,0.08
Miller,Republican,Donald Trump,2482,0.10
Grundy,Republican,Ted Cruz,272,0.07
Shelby,Republican,Ted Cruz,2069,0.10
Worcester,Republican,Donald Trump,5808,0.10
Yazoo,Democrat,Hillary Clinton,2203,0.06
Elmore,Republican,Donald Trump,1252,0.17
St. Helena,Democrat,Hillary Clinton,1407,0.07
Green,Republican,Donald Trump,655,0.07
Parke,Republican,Donald Trump,1996,0.08
Ogemaw,Republican,Donald Trump,1612,0.11
Posey,Republican,Donald Trump,3159,0.07
Monona,Republican,Ted Cruz,185,0.11
Amador,Republican,Donald Trump,3605,0.13
Albemarle,Democrat,Hillary Clinton,8284,0.07
Greene,Republican,Donald Trump,1014,0.08
Carter,Republican,Donald Trump,349,0.06
San Joaquin,Democrat,Hillary Clinton,25118,0.05
Clinton,Republican,Donald Trump,771,0.07
Irwin,Republican,Donald Trump,869,0.10
Lee,Republican,Donald Trump,51659,0.09
Mississippi,Democrat,Hillary Clinton,2017,0.07
Manatee,Republican,Donald Trump,26320,0.10
Dickinson,Republican,Donald Trump,1708,0.11
Gosper,Republican,Donald Trump,259,0.08
Brown,Republican,Donald Trump,555,0.12
Hernando,Republican,Donald Trump,15479,0.12
Blackford,Republican,Donald Trump,1019,0.09
Lafayette,Republican,Donald Trump,2521,0.04
Phelps,Republican,Donald Trump,963,0.08
Sullivan,Republican,Donald Trump,2379,0.07
Saint Lawrence,Democrat,Bernie Sanders,4102,0.07
Roberts,Democrat,Bernie Sanders,397,0.08
Ulster,Democrat,Bernie Sanders,11572,0.07
Summers,Democrat,Bernie Sanders,1060,0.10
Refugio,Democrat,Hillary Clinton,549,0.08
Cass,Republican,Donald Trump,680,0.07
Clay,Republican,Donald Trump,1920,0.08
Louisa,Republican,Donald Trump,261,0.07
Navajo,Democrat,Hillary Clinton,4415,0.07
Lee,Republican,Donald Trump,3057,0.08
Little River,Democrat,Hillary Clinton,721,0.10
Washington,Democrat,Hillary Clinton,1374,0.08
Dooly,Democrat,Hillary Clinton,737,0.09
Brooks,Republican,Donald Trump,1009,0.10
Martin,Republican,Donald Trump,586,0.05
Cook,Republican,Donald Trump,1229,0.07
Pittsburg,Democrat,Bernie Sanders,3026,0.10
Starke,Republican,Donald Trump,2456,0.08
Montgomery,Republican,Donald Trump,1192,0.10
Nottoway,Democrat,Hillary Clinton,829,0.08
Surry,Democrat,Hillary Clinton,812,0.10
Bullitt,Democrat,Bernie Sanders,3210,0.08
Callaway,Republican,Ted Cruz,3261,0.08
Washington,Democrat,Hillary Clinton,1663,0.08
Kendall,Democrat,Bernie Sanders,7482,0.05
Archuleta,Democrat,Bernie Sanders,156,0.09
Park,Democrat,Bernie Sanders,231,0.12
St. Bernard,Democrat,Hillary Clinton,1057,0.04
Miami,Republican,Donald Trump,3286,0.10
St. Mary's,Republican,Donald Trump,6576,0.12
Hayes,Republican,Donald Trump,103,0.14
Ionia,Democrat,Bernie Sanders,2812,0.07
Crawford,Republican,Donald Trump,1108,0.12
LaSalle,Republican,Donald Trump,577,0.07
Lee,Democrat,Hillary Clinton,956,0.05
Kenedy,Democrat,Hillary Clinton,63,0.08
Garland,Republican,Donald Trump,5538,0.11
Schley,Republican,Donald Trump,331,0.05
Tattnall,Republican,Donald Trump,1089,0.08
Missaukee,Republican,Donald Trump,1221,0.08
Deuel,Democrat,Hillary Clinton,162,0.11
Wayne,Democrat,Bernie Sanders,2898,0.09
Fayette,Democrat,Bernie Sanders,3585,0.09
Fluvanna,Democrat,Hillary Clinton,1355,0.09
Okmulgee,Democrat,Bernie Sanders,1882,0.09
Cumberland,Republican,Ted Cruz,1081,0.09
Jones,Republican,Donald Trump,6388,0.07
Claiborne,Democrat,Hillary Clinton,1411,0.04
Putnam,Democrat,Bernie Sanders,504,0.11
Fulton,Republican,Donald Trump,2556,0.08
Virginia Beach,Democrat,Hillary Clinton,22352,0.14
Jefferson,Democrat,Hillary Clinton,67357,0.07
Douglas,Republican,Donald Trump,23754,0.06
Des Moines,Democrat,Bernie Sanders,1066,0.09
Lee,Democrat,Hillary Clinton,929,0.10
Gage,Republican,Donald Trump,1407,0.09
Pierce,Republican,Donald Trump,617,0.10
Adams,Republican,Donald Trump,2798,0.08
Wake,Democrat,Hillary Clinton,77927,0.05
Leflore,Democrat,Hillary Clinton,2094,0.03
Chariton,Republican,Donald Trump,597,0.08
Claiborne,Democrat,Hillary Clinton,768,0.07
Prince William,Democrat,Hillary Clinton,26439,0.09
Kearney,Republican,Donald Trump,614,0.09
Lake,Democrat,Hillary Clinton,49750,0.05
Holt,Republican,Donald Trump,1302,0.08
Ballard,Democrat,Bernie Sanders,659,0.09
Jasper,Democrat,Hillary Clinton,2194,0.06
Pulaski,Republican,Donald Trump,2802,0.14
McDonough,Republican,Donald Trump,1599,0.08
Livingston,Democrat,Bernie Sanders,610,0.06
Coahoma,Democrat,Hillary Clinton,2301,0.05
Cross,Republican,Donald Trump,972,0.07
Edgecombe,Democrat,Hillary Clinton,6411,0.07
Russell,Democrat,Hillary Clinton,4381,0.10
Dallas,Republican,Marco Rubio,2469,0.05
Murray,Democrat,Bernie Sanders,909,0.10
Dent,Republican,Donald Trump,1688,0.10
Taylor,Republican,Donald Trump,1203,0.10
Marshall,Republican,Donald Trump,4755,0.07
Cassia,Republican,Ted Cruz,2095,0.06
Taylor,Democrat,Hillary Clinton,140,0.08
Decatur,Republican,Donald Trump,1525,0.06
Pasco,Republican,Donald Trump,33536,0.10
Lenoir,Democrat,Hillary Clinton,4731,0.07
Bergen,Democrat,Hillary Clinton,55264,0.04
Pearl River,Republican,Donald Trump,4562,0.09
Lincoln,Republican,Donald Trump,3235,0.09
Lafayette,Republican,Donald Trump,556,0.09
Lewis,Republican,Donald Trump,286,0.12
Metcalfe,Democrat,Bernie Sanders,582,0.06
Dunn,Democrat,Bernie Sanders,4272,0.07
Todd,Democrat,Bernie Sanders,524,0.05
Saline,Republican,Donald Trump,1417,0.08
Madison,Republican,Donald Trump,916,0.08
Jasper,Republican,Donald Trump,3903,0.08
Carroll,Republican,Ben Carson,0,0.11
San Juan,Democrat,Bernie Sanders,27,0.08
Fulton,Democrat,Hillary Clinton,315,0.08
Piatt,Republican,Ted Cruz,1855,0.08
Warren,Republican,Donald Trump,1018,0.07
Heard,Republican,Donald Trump,1068,0.07
Nicholas,Democrat,Bernie Sanders,420,0.06
Porter,Republican,Donald Trump,16194,0.07
Perry,Democrat,Hillary Clinton,648,0.10
Tuolumne,Republican,Donald Trump,4949,0.10
St. Lucie,Republican,Donald Trump,18350,0.09
Mineral,Democrat,Bernie Sanders,25,0.16
Dawson,Republican,Donald Trump,1685,0.09
Coles,Republican,Donald Trump,3156,0.07
Lee,Republican,Donald Trump,273,0.05
Maricopa,Republican,Donald Trump,144522,0.07
Union,Democrat,Hillary Clinton,2548,0.08
Lake,Democrat,Bernie Sanders,2704,0.11
Duval,Democrat,Hillary Clinton,2272,0.06
Paulding,Republican,Donald Trump,10002,0.07
DeWitt,Republican,Donald Trump,1577,0.08
Baxter,Republican,Donald Trump,3798,0.14
Rock,Democrat,Bernie Sanders,17337,0.07
Berrien,Republican,Donald Trump,1563,0.08
Ingham,Democrat,Bernie Sanders,22909,0.06
Weston,Democrat,Bernie Sanders,1,0.11
Kimball,Republican,Donald Trump,439,0.10
Plymouth,Republican,Donald Trump,618,0.08
Hancock,Republican,Ted Cruz,385,0.07
Bossier,Republican,Ted Cruz,4988,0.10
Fannin,Republican,Donald Trump,3001,0.10
Stanislaus,Republican,Donald Trump,15390,0.05
Harlan,Democrat,Bernie Sanders,1092,0.08
Pickens,Democrat,Hillary Clinton,2326,0.08
St. Joseph,Republican,Donald Trump,19059,0.07
McCreary,Republican,Donald Trump,725,0.06
Fayette,Republican,Donald Trump,1933,0.08
Leelanau,Democrat,Bernie Sanders,2359,0.10
Radford,Democrat,Bernie Sanders,655,0.05
Henderson,Republican,Donald Trump,516,0.12
Jefferson,Republican,Ted Cruz,3080,0.06
Lonoke,Republican,Ted Cruz,4028,0.10
Marshall,Democrat,Bernie Sanders,960,0.09
Lawrence,Republican,Donald Trump,3604,0.06
Conway,Democrat,Hillary Clinton,1755,0.07
St. Charles,Democrat,Hillary Clinton,2245,0.06
Richland,Republican,Donald Trump,1469,0.09
Custer,Republican,Donald Trump,430,0.13
Oglethorpe,Republican,Donald Trump,1230,0.08
Dade,Republican,Donald Trump,1151,0.08
Minidoka,Republican,Ted Cruz,1163,0.07
Pawnee,Republican,Donald Trump,225,0.07
Mecosta,Republican,Donald Trump,2113,0.08
Union,Republican,Donald Trump,875,0.08
Kankakee,Republican,Donald Trump,6403,0.08
Monroe,Republican,Donald Trump,2262,0.08
Big Horn,Democrat,Hillary Clinton,2,0.09
Richmond City,Democrat,Hillary Clinton,21822,0.06
Alamance,Democrat,Hillary Clinton,7374,0.07
Charlotte,Republican,Donald Trump,16525,0.15
Hancock,Republican,Donald Trump,9520,0.07
Faulkner,Republican,Ted Cruz,6228,0.07
Monongalia,Democrat,Bernie Sanders,8096,0.05
Stone,Republican,Ted Cruz,1428,0.09
Tuscola,Republican,Donald Trump,3750,0.08
Keokuk,Democrat,Hillary Clinton,250,0.08
Fremont,Republican,Ted Cruz,1434,0.07
Nelson,Democrat,Hillary Clinton,991,0.09
Cameron,Democrat,Hillary Clinton,20326,0.04
Bleckley,Republican,Donald Trump,935,0.07
McDonald,Republican,Donald Trump,1580,0.09
Lucas,Democrat,Hillary Clinton,32137,0.07
Stoddard,Republican,Donald Trump,3024,0.10
Grundy,Republican,Donald Trump,978,0.08
Jefferson,Republican,Donald Trump,3077,0.08
Barren,Democrat,Bernie Sanders,2653,0.06
Morgan,Republican,Donald Trump,1976,0.11
Wexford,Republican,Donald Trump,2578,0.09
Edmonson,Republican,Donald Trump,531,0.08
Iberville,Democrat,Hillary Clinton,3699,0.06
Ogle,Republican,Ted Cruz,4307,0.08
Georgetown,Democrat,Hillary Clinton,4931,0.10
Martinsville,Democrat,Hillary Clinton,834,0.08
Mercer,Democrat,Hillary Clinton,29505,0.05
Pike,Republican,Donald Trump,1649,0.08
Pemiscot,Republican,Donald Trump,1155,0.07
Clare,Republican,Donald Trump,1996,0.10
Perry,Democrat,Hillary Clinton,2575,0.07
Spalding,Republican,Donald Trump,4257,0.08
Hendry,Republican,Donald Trump,1290,0.05
Indian River,Republican,Donald Trump,13678,0.11
Mobile,Democrat,Hillary Clinton,28927,0.08
Prince George,Democrat,Hillary Clinton,1992,0.12
Greene,Republican,Ted Cruz,26784,0.08
Kauai,Democrat,Bernie Sanders,2049,0.07
Glacier,Democrat,Bernie Sanders,1074,0.07
Buffalo,Republican,Donald Trump,3748,0.06
Poweshiek,Democrat,Bernie Sanders,475,0.07
Hamilton,Democrat,Hillary Clinton,353,0.09
Oconee,Republican,Donald Trump,2871,0.06
Rio Arriba,Democrat,Hillary Clinton,4915,0.07
Loudoun,Democrat,Hillary Clinton,21171,0.06
Crockett,Democrat,Hillary Clinton,266,0.05
Mecklenburg,Democrat,Hillary Clinton,1588,0.09
Cascade,Republican,Donald Trump,8129,0.12
Whitley,Republican,Donald Trump,1556,0.07
Sangamon,Republican,Ted Cruz,12261,0.08
Gem,Republican,Ted Cruz,1391,0.10
Marion,Democrat,Hillary Clinton,1162,0.07
Garfield,Republican,Donald Trump,357,0.07
Franklin,Republican,Donald Trump,3487,0.06
Jackson,Democrat,Hillary Clinton,48860,0.07
Crawford,Republican,Ted Cruz,226,0.07
Johnson,Democrat,Bernie Sanders,1,0.11
Benton,Republican,Donald Trump,1175,0.07
Boundary,Republican,Ted Cruz,901,0.12
Butler,Republican,Donald Trump,3652,0.10
Prairie,Republican,Donald Trump,269,0.14
Clinton,Republican,Donald Trump,2522,0.09
Smith,Republican,Donald Trump,1820,0.06
Chowan,Democrat,Hillary Clinton,974,0.08
Washita,Democrat,Bernie Sanders,700,0.08
Shannon,Republican,Donald Trump,808,0.09
Norfolk,Democrat,Hillary Clinton,15747,0.11
Iberia,Democrat,Hillary Clinton,2171,0.06
Kane,Democrat,Bernie Sanders,31085,0.05
Centre,Democrat,Bernie Sanders,10269,0.06
Ottawa,Democrat,Bernie Sanders,1238,0.09
Pope,Republican,Donald Trump,507,0.10
Laurel,Republican,Donald Trump,2313,0.07
Independence,Republican,Donald Trump,2077,0.08
Hidalgo,Democrat,Hillary Clinton,40276,0.03
Fairfield,Democrat,Hillary Clinton,3260,0.09
Bienville,Democrat,Hillary Clinton,1056,0.08
Edgar,Republican,Donald Trump,1562,0.09
Winn,Democrat,Hillary Clinton,488,0.06
Mayes,Democrat,Bernie Sanders,2144,0.09
St. Louis County,Democrat,Hillary Clinton,89373,0.07
Chickasaw,Democrat,Hillary Clinton,360,0.09
Shelby,Democrat,Hillary Clinton,2195,0.08
Pierce,Democrat,Bernie Sanders,3199,0.07
LaPorte,Republican,Donald Trump,9494,0.08
Lafayette,Democrat,Bernie Sanders,1330,0.06
St. John the Baptist,Democrat,Hillary Clinton,3818,0.06
Pike,Republican,Donald Trump,1603,0.07
La Paz,Republican,Donald Trump,940,0.15
Marion,Republican,Donald Trump,2454,0.06
Steuben,Republican,Donald Trump,3973,0.08
Adams,Republican,Donald Trump,354,0.14
Lincoln,Democrat,Hillary Clinton,3,0.06
Gunnison,Democrat,Bernie Sanders,481,0.07
Phelps,Republican,Donald Trump,3425,0.09
Allendale,Democrat,Hillary Clinton,1022,0.06
Audubon,Democrat,Hillary Clinton,187,0.10
Alameda,Democrat,Hillary Clinton,107102,0.04
Clark,Republican,Donald Trump,10635,0.08
Murray,Republican,Donald Trump,3084,0.05
Franklin,Republican,Donald Trump,2155,0.06
Pike,Republican,Donald Trump,1930,0.08
Monroe,Republican,Donald Trump,698,0.10
Jefferson,Democrat,Hillary Clinton,1519,0.07
St. Landry,Democrat,Hillary Clinton,4606,0.05
Webster,Democrat,Hillary Clinton,1878,0.08
Prince George's,Democrat,Hillary Clinton,113912,0.07
Scott,Republican,Donald Trump,715,0.09
Crittenden,Democrat,Hillary Clinton,3379,0.07
Clinton,Democrat,Bernie Sanders,4301,0.09
Dearborn,Republican,Donald Trump,6617,0.08
Washington,Democrat,Hillary Clinton,2982,0.06
Allegan,Republican,Ted Cruz,7530,0.07
Essex,Democrat,Bernie Sanders,1932,0.10
